roll_no,gender,race_ethnicity,parental_level_of_education,test_preparation_course,score_id,grade_id
std-1189,male,"group D","associate's degree",False,1189,1189
std-119,male,"group A","associate's degree",True,119,119
std-1190,male,"group B","master's degree",True,1190,1190
std-1191,male,"group D","master's degree",True,1191,1191
std-1192,male,"group E","some college",False,1192,1192
std-1193,male,"group C","some college",False,1193,1193
std-1194,male,"group C","associate's degree",False,1194,1194
std-1195,male,"group C","associate's degree",True,1195,1195
std-1196,male,"group A","associate's degree",False,1196,1196
std-1197,male,"group A","bachelor's degree",False,1197,1197
std-1198,male,"group D","high school",True,1198,1198
std-1199,male,"group D","high school",True,1199,1199
std-12,male,"group E","associate's degree",False,12,12
std-120,male,"group B","some college",False,120,120
std-1200,male,"group B","some college",False,1200,1200
std-1201,male,"group D","high school",False,1201,1201
std-1202,male,"group D","bachelor's degree",False,1202,1202
std-1203,male,"group D","some high school",True,1203,1203
std-1204,male,"group E","master's degree",False,1204,1204
std-1205,male,"group E","some college",True,1205,1205
std-1206,male,"group C","some high school",False,1206,1206
std-1207,male,"group A","high school",True,1207,1207
std-1208,male,"group C","high school",False,1208,1208
std-1209,male,"group C","bachelor's degree",True,1209,1209
std-121,male,"group C","high school",False,121,121
std-1210,male,"group B","bachelor's degree",True,1210,1210
std-1211,male,"group D","some college",False,1211,1211
std-1212,male,"group C","bachelor's degree",False,1212,1212
std-1213,male,"group B","some college",True,1213,1213
std-1214,male,"group A","high school",False,1214,1214
std-1215,male,"group B","master's degree",False,1215,1215
std-1216,male,"group B","associate's degree",True,1216,1216
std-1217,male,"group A","some college",False,1217,1217
std-1218,male,"group E","bachelor's degree",True,1218,1218
std-1219,male,"group B","bachelor's degree",True,1219,1219
std-122,male,"group C","associate's degree",False,122,122
std-1220,male,"group C","bachelor's degree",False,1220,1220
std-1221,male,"group D","high school",True,1221,1221
std-1222,male,"group E","some high school",False,1222,1222
std-1223,male,"group A","some college",False,1223,1223
std-1224,male,"group E","some high school",False,1224,1224
std-1225,male,"group D","high school",True,1225,1225
std-1226,male,"group D","bachelor's degree",False,1226,1226
std-1227,male,"group D","some college",False,1227,1227
std-1228,male,"group E","associate's degree",False,1228,1228
std-1229,male,"group B","master's degree",False,1229,1229
std-123,male,"group E","associate's degree",False,123,123
std-1230,male,"group C","some college",False,1230,1230
std-1231,male,"group B","high school",False,1231,1231
std-1232,male,"group B","some college",True,1232,1232
std-1233,male,"group B","some high school",False,1233,1233
std-1234,male,"group C","some high school",False,1234,1234
std-1235,male,"group B","bachelor's degree",False,1235,1235
std-1236,male,"group C","some college",True,1236,1236
std-1237,male,"group B","some high school",False,1237,1237
std-1238,male,"group D","some college",False,1238,1238
std-1239,male,"group E","bachelor's degree",True,1239,1239
std-124,male,"group C","some high school",False,124,124
std-1240,male,"group D","some college",False,1240,1240
std-1241,male,"group B","some college",True,1241,1241
std-1242,male,"group C","master's degree",False,1242,1242
std-1243,male,"group E","associate's degree",True,1243,1243
std-1244,male,"group C","associate's degree",False,1244,1244
std-1245,male,"group D","associate's degree",False,1245,1245
std-1246,male,"group C","bachelor's degree",False,1246,1246
std-1247,male,"group E","some high school",False,1247,1247
std-1248,male,"group D","associate's degree",True,1248,1248
std-1249,male,"group C","high school",False,1249,1249
std-125,male,"group A","master's degree",True,125,125
std-1250,male,"group B","associate's degree",False,1250,1250
std-1251,male,"group C","bachelor's degree",False,1251,1251
std-1252,male,"group B","high school",False,1252,1252
std-1253,male,"group C","some college",True,1253,1253
std-1254,male,"group D","high school",True,1254,1254
std-1255,male,"group E","bachelor's degree",True,1255,1255
std-1256,male,"group D","some high school",False,1256,1256
std-1257,male,"group E","high school",True,1257,1257
std-1258,male,"group C","bachelor's degree",True,1258,1258
std-1259,male,"group D","master's degree",True,1259,1259
std-126,male,"group B","some college",False,126,126
std-1260,male,"group B","high school",False,1260,1260
std-1261,male,"group D","high school",False,1261,1261
std-1262,male,"group D","master's degree",False,1262,1262
std-1263,male,"group D","some college",False,1263,1263
std-1264,male,"group C","associate's degree",True,1264,1264
std-1265,male,"group D","high school",False,1265,1265
std-1266,male,"group D","some college",True,1266,1266
std-1267,male,"group B","some college",False,1267,1267
std-1268,male,"group C","associate's degree",False,1268,1268
std-1269,male,"group A","associate's degree",False,1269,1269
std-127,male,"group C","high school",True,127,127
std-1270,male,"group C","high school",True,1270,1270
std-1271,male,"group B","bachelor's degree",False,1271,1271
std-1272,male,"group D","associate's degree",False,1272,1272
std-1273,male,"group C","some college",True,1273,1273
std-1274,male,"group C","high school",False,1274,1274
std-1275,male,"group D","master's degree",False,1275,1275
std-1276,male,"group A","associate's degree",True,1276,1276
std-1277,male,"group B","some high school",True,1277,1277
std-1278,male,"group B","associate's degree",False,1278,1278
std-1279,male,"group E","master's degree",False,1279,1279
std-128,male,"group D","some college",True,128,128
std-1280,male,"group D","high school",False,1280,1280
std-1281,male,"group E","bachelor's degree",False,1281,1281
std-1282,male,"group D","bachelor's degree",False,1282,1282
std-1283,male,"group D","bachelor's degree",False,1283,1283
std-1284,male,"group D","master's degree",False,1284,1284
std-1285,male,"group B","master's degree",False,1285,1285
std-1286,male,"group B","some college",True,1286,1286
std-1287,male,"group C","bachelor's degree",False,1287,1287
std-1288,male,"group C","some college",False,1288,1288
std-1289,male,"group E","some high school",False,1289,1289
std-129,male,"group E","some college",True,129,129
std-1290,male,"group B","high school",True,1290,1290
std-1291,male,"group C","some high school",True,1291,1291
std-1292,male,"group D","bachelor's degree",False,1292,1292
std-1293,male,"group E","some high school",False,1293,1293
std-1294,male,"group B","some high school",True,1294,1294
std-1295,male,"group A","bachelor's degree",True,1295,1295
std-1296,male,"group E","some college",True,1296,1296
std-1297,male,"group B","some high school",False,1297,1297
std-1298,male,"group B","associate's degree",True,1298,1298
std-1299,male,"group D","bachelor's degree",False,1299,1299
std-13,male,"group A","associate's degree",False,13,13
std-130,male,"group B","master's degree",False,130,130
std-1300,male,"group D","some college",False,1300,1300
std-1301,male,"group D","bachelor's degree",True,1301,1301
std-1302,male,"group D","some college",True,1302,1302
std-1303,male,"group C","some high school",False,1303,1303
std-1304,male,"group E","associate's degree",False,1304,1304
std-1305,male,"group B","high school",False,1305,1305
std-1306,male,"group B","high school",True,1306,1306
std-1307,male,"group D","some high school",False,1307,1307
std-1308,male,"group D","some college",True,1308,1308
std-1309,male,"group C","bachelor's degree",False,1309,1309
std-131,male,"group E","high school",False,131,131
std-1310,male,"group B","high school",True,1310,1310
std-1311,male,"group D","some college",False,1311,1311
std-1312,male,"group D","high school",False,1312,1312
std-1313,male,"group D","high school",True,1313,1313
std-1314,male,"group C","some college",False,1314,1314
std-1315,male,"group C","some college",True,1315,1315
std-1316,male,"group E","master's degree",True,1316,1316
std-1317,male,"group D","some college",False,1317,1317
std-1318,male,"group C","some high school",True,1318,1318
std-1319,male,"group D","master's degree",False,1319,1319
std-132,male,"group B","some high school",False,132,132
std-1320,male,"group B","some college",False,1320,1320
std-1321,male,"group C","some high school",False,1321,1321
std-1322,male,"group D","bachelor's degree",False,1322,1322
std-1323,male,"group E","master's degree",False,1323,1323
std-1324,male,"group D","high school",False,1324,1324
std-1325,female,"group E","high school",False,1325,1325
std-1326,male,"group C","associate's degree",False,1326,1326
std-1327,male,"group E","some high school",False,1327,1327
std-1328,male,"group A","bachelor's degree",False,1328,1328
std-1329,male,"group D","some college",False,1329,1329
std-133,male,"group B","bachelor's degree",False,133,133
std-1330,male,"group D","some college",True,1330,1330
std-1331,male,"group D","bachelor's degree",True,1331,1331
std-1332,male,"group C","high school",True,1332,1332
std-1333,male,"group A","bachelor's degree",False,1333,1333
std-1334,male,"group C","associate's degree",True,1334,1334
std-1335,male,"group A","bachelor's degree",False,1335,1335
std-1336,male,"group E","high school",False,1336,1336
std-1337,male,"group B","some college",False,1337,1337
std-1338,male,"group D","high school",True,1338,1338
std-1339,male,"group B","bachelor's degree",False,1339,1339
std-134,male,"group C","some high school",True,134,134
std-1340,male,"group E","some college",False,1340,1340
std-1341,male,"group D","associate's degree",False,1341,1341
std-1342,male,"group A","some high school",False,1342,1342
std-1343,male,"group B","some high school",False,1343,1343
std-1344,male,"group B","master's degree",False,1344,1344
std-1345,male,"group E","some college",True,1345,1345
std-1346,male,"group C","high school",False,1346,1346
std-1347,male,"group E","some high school",False,1347,1347
std-1348,male,"group D","some high school",True,1348,1348
std-1349,male,"group C","high school",False,1349,1349
std-135,male,"group B","bachelor's degree",True,135,135
std-1350,male,"group E","some college",False,1350,1350
std-1351,male,"group B","associate's degree",False,1351,1351
std-1352,male,"group C","some college",False,1352,1352
std-1353,male,"group E","high school",False,1353,1353
std-1354,male,"group C","some college",True,1354,1354
std-1355,male,"group E","some college",False,1355,1355
std-1356,male,"group E","associate's degree",False,1356,1356
std-1357,male,"group C","associate's degree",True,1357,1357
std-1358,male,"group B","high school",True,1358,1358
std-1359,male,"group E","some high school",False,1359,1359
std-136,male,"group E","some high school",True,136,136
std-1360,male,"group B","some high school",False,1360,1360
std-1361,male,"group B","bachelor's degree",True,1361,1361
std-1362,male,"group C","high school",False,1362,1362
std-1363,male,"group B","master's degree",True,1363,1363
std-1364,male,"group C","some college",False,1364,1364
std-1365,male,"group D","bachelor's degree",True,1365,1365
std-1366,male,"group C","some high school",True,1366,1366
std-1367,male,"group E","some college",False,1367,1367
std-1368,male,"group D","some college",True,1368,1368
std-1369,male,"group B","master's degree",False,1369,1369
std-137,male,"group D","some high school",False,137,137
std-1370,male,"group E","high school",False,1370,1370
std-1371,male,"group B","associate's degree",False,1371,1371
std-1372,male,"group E","some college",False,1372,1372
std-1373,male,"group E","some college",False,1373,1373
std-1374,male,"group D","some high school",True,1374,1374
std-1375,male,"group C","associate's degree",False,1375,1375
std-1376,male,"group D","high school",False,1376,1376
std-1377,male,"group C","bachelor's degree",True,1377,1377
std-1378,male,"group D","master's degree",True,1378,1378
std-1379,male,"group B","some college",True,1379,1379
std-138,male,"group D","some college",True,138,138
std-1380,male,"group B","high school",False,1380,1380
std-1381,male,"group D","high school",False,1381,1381
std-1382,male,"group E","some college",False,1382,1382
std-1383,male,"group B","high school",False,1383,1383
std-1384,male,"group C","bachelor's degree",True,1384,1384
std-1385,male,"group D","some college",False,1385,1385
std-1386,male,"group C","some college",True,1386,1386
std-1387,male,"group D","some college",False,1387,1387
std-1388,male,"group C","associate's degree",False,1388,1388
std-1389,male,"group C","some college",True,1389,1389
std-139,male,"group D","some college",False,139,139
std-1390,male,"group B","some high school",False,1390,1390
std-1391,male,"group C","bachelor's degree",False,1391,1391
std-1392,male,"group D","some college",True,1392,1392
std-1393,male,"group B","some college",False,1393,1393
std-1394,male,"group D","some college",False,1394,1394
std-1395,male,"group B","associate's degree",False,1395,1395
std-1396,male,"group D","some high school",True,1396,1396
std-1397,male,"group B","associate's degree",True,1397,1397
std-1398,male,"group B","some college",False,1398,1398
std-1399,male,"group B","some high school",False,1399,1399
std-14,male,"group E","high school",True,14,14
std-140,male,"group C","some high school",True,140,140
std-1400,male,"group B","associate's degree",False,1400,1400
std-1401,male,"group C","bachelor's degree",False,1401,1401
std-1402,male,"group D","high school",True,1402,1402
std-1403,male,"group E","bachelor's degree",False,1403,1403
std-1404,male,"group E","associate's degree",True,1404,1404
std-1405,male,"group E","some college",False,1405,1405
std-1406,male,"group C","associate's degree",True,1406,1406
std-1407,male,"group D","some high school",True,1407,1407
std-1408,male,"group D","associate's degree",False,1408,1408
std-1409,male,"group E","some high school",False,1409,1409
std-141,male,"group C","associate's degree",True,141,141
std-1410,male,"group B","bachelor's degree",True,1410,1410
std-1411,male,"group A","some high school",True,1411,1411
std-1412,male,"group E","some college",False,1412,1412
std-1413,male,"group C","associate's degree",False,1413,1413
std-1414,male,"group B","some high school",False,1414,1414
std-1415,male,"group C","some college",True,1415,1415
std-1416,male,"group D","bachelor's degree",False,1416,1416
std-1417,male,"group D","high school",False,1417,1417
std-1418,male,"group D","bachelor's degree",False,1418,1418
std-1419,male,"group D","some college",True,1419,1419
std-142,male,"group D","associate's degree",False,142,142
std-1420,male,"group B","bachelor's degree",False,1420,1420
std-1421,male,"group A","some college",False,1421,1421
std-1422,male,"group D","associate's degree",False,1422,1422
std-1423,male,"group E","high school",False,1423,1423
std-1424,male,"group A","master's degree",True,1424,1424
std-1425,male,"group A","some college",True,1425,1425
std-1426,male,"group D","high school",True,1426,1426
std-1427,male,"group C","bachelor's degree",True,1427,1427
std-1428,male,"group C","some college",False,1428,1428
std-1429,male,"group A","high school",True,1429,1429
std-143,male,"group B","high school",True,143,143
std-1430,male,"group E","associate's degree",True,1430,1430
std-1431,male,"group E","some college",False,1431,1431
std-1432,male,"group D","associate's degree",False,1432,1432
std-1433,male,"group B","associate's degree",True,1433,1433
std-1434,male,"group D","some high school",False,1434,1434
std-1435,male,"group D","associate's degree",False,1435,1435
std-1436,male,"group D","some college",False,1436,1436
std-1437,male,"group E","some college",True,1437,1437
std-1438,male,"group E","high school",False,1438,1438
std-1439,male,"group A","some college",True,1439,1439
std-144,male,"group A","master's degree",False,144,144
std-1440,male,"group E","some college",False,1440,1440
std-1441,male,"group E","some college",True,1441,1441
std-1442,male,"group B","high school",False,1442,1442
std-1443,male,"group B","some high school",True,1443,1443
std-1444,male,"group E","some college",False,1444,1444
std-1445,male,"group D","high school",False,1445,1445
std-1446,male,"group C","bachelor's degree",False,1446,1446
std-1447,male,"group C","bachelor's degree",False,1447,1447
std-1448,male,"group D","bachelor's degree",True,1448,1448
std-1449,male,"group D","associate's degree",False,1449,1449
std-145,male,"group D","high school",False,145,145
std-1450,male,"group C","high school",False,1450,1450
std-1451,male,"group D","some college",False,1451,1451
std-1452,male,"group D","some college",False,1452,1452
std-1453,male,"group D","some high school",False,1453,1453
std-1454,male,"group B","some high school",True,1454,1454
std-1455,male,"group B","associate's degree",True,1455,1455
std-1456,male,"group E","high school",True,1456,1456
std-1457,male,"group E","high school",False,1457,1457
std-1458,male,"group B","high school",True,1458,1458
std-1459,male,"group B","bachelor's degree",True,1459,1459
std-146,male,"group C","master's degree",False,146,146
std-1460,male,"group E","associate's degree",True,1460,1460
std-1461,male,"group C","associate's degree",False,1461,1461
std-1462,male,"group B","some college",False,1462,1462
std-1463,male,"group C","high school",True,1463,1463
std-1464,male,"group D","bachelor's degree",True,1464,1464
std-1465,male,"group D","some college",False,1465,1465
std-1466,male,"group D","master's degree",False,1466,1466
std-1467,male,"group E","some college",True,1467,1467
std-1468,male,"group E","high school",True,1468,1468
std-1469,male,"group D","associate's degree",False,1469,1469
std-147,male,"group C","some high school",True,147,147
std-1470,male,"group E","some high school",False,1470,1470
std-1471,male,"group D","bachelor's degree",True,1471,1471
std-1472,male,"group E","some college",False,1472,1472
std-1473,male,"group A","some college",False,1473,1473
std-1474,male,"group C","master's degree",False,1474,1474
std-1475,male,"group D","some high school",False,1475,1475
std-1476,male,"group E","associate's degree",False,1476,1476
std-1477,male,"group C","high school",True,1477,1477
std-1478,male,"group C","some college",True,1478,1478
std-1479,male,"group B","bachelor's degree",False,1479,1479
std-148,male,"group C","some college",False,148,148
std-1480,male,"group B","associate's degree",False,1480,1480
std-1481,male,"group A","some college",False,1481,1481
std-1482,male,"group C","high school",True,1482,1482
std-1483,male,"group A","some high school",False,1483,1483
std-1484,male,"group C","high school",True,1484,1484
std-1485,male,"group B","associate's degree",False,1485,1485
std-1486,male,"group C","some college",False,1486,1486
std-1487,male,"group B","some college",True,1487,1487
std-1488,male,"group B","some high school",False,1488,1488
std-1489,male,"group A","some high school",False,1489,1489
std-149,male,"group C","some college",False,149,149
std-1490,male,"group C","some college",False,1490,1490
std-1491,male,"group D","associate's degree",False,1491,1491
std-1492,male,"group C","some college",True,1492,1492
std-1493,male,"group A","bachelor's degree",False,1493,1493
std-1494,male,"group D","high school",False,1494,1494
std-1495,male,"group C","bachelor's degree",True,1495,1495
std-1496,male,"group C","bachelor's degree",False,1496,1496
std-1497,male,"group A","bachelor's degree",False,1497,1497
std-1498,male,"group B","some college",True,1498,1498
std-1499,male,"group C","some high school",False,1499,1499
std-15,male,"group A","associate's degree",True,15,15
std-150,male,"group C","master's degree",False,150,150
std-1500,male,"group A","high school",False,1500,1500
std-1501,male,"group B","associate's degree",False,1501,1501
std-1502,male,"group B","associate's degree",False,1502,1502
std-1503,male,"group A","some college",True,1503,1503
std-1504,male,"group B","associate's degree",False,1504,1504
std-1505,male,"group E","some high school",True,1505,1505
std-1506,male,"group B","high school",False,1506,1506
std-1507,male,"group E","some high school",False,1507,1507
std-1508,male,"group D","high school",False,1508,1508
std-1509,male,"group A","some high school",False,1509,1509
std-151,male,"group E","some college",True,151,151
std-1510,male,"group C","some college",False,1510,1510
std-1511,male,"group D","high school",False,1511,1511
std-1512,male,"group C","some high school",False,1512,1512
std-1513,male,"group A","some college",False,1513,1513
std-1514,male,"group C","high school",True,1514,1514
std-1515,male,"group E","high school",True,1515,1515
std-1516,male,"group B","high school",False,1516,1516
std-1517,male,"group B","master's degree",True,1517,1517
std-1518,male,"group C","bachelor's degree",True,1518,1518
std-1519,male,"group A","associate's degree",False,1519,1519
std-152,male,"group B","master's degree",False,152,152
std-1520,male,"group A","high school",False,1520,1520
std-1521,male,"group E","some college",True,1521,1521
std-1522,male,"group C","bachelor's degree",True,1522,1522
std-1523,male,"group D","some college",False,1523,1523
std-1524,male,"group B","master's degree",False,1524,1524
std-1525,male,"group D","high school",False,1525,1525
std-1526,male,"group B","associate's degree",False,1526,1526
std-1527,male,"group D","associate's degree",False,1527,1527
std-1528,male,"group C","bachelor's degree",False,1528,1528
