score_id,roll_no,math_score,reading_score,writing_score,science_score,total_score
121,std-121,30,63,76,48,217
122,std-122,98,68,100,69,335
123,std-123,85,98,64,73,320
124,std-124,75,90,51,91,307
125,std-125,97,100,69,58,324
126,std-126,20,76,27,43,166
127,std-127,50,100,67,100,317
128,std-128,65,85,72,72,294
129,std-129,23,100,92,67,282
130,std-130,32,48,51,9,140
131,std-131,61,59,100,54,274
132,std-132,73,78,96,81,328
133,std-133,88,85,79,100,352
134,std-134,60,92,41,28,221
135,std-135,25,82,80,94,281
136,std-136,93,81,75,91,340
137,std-137,72,44,78,58,252
138,std-138,64,65,81,100,310
139,std-139,41,72,88,64,265
140,std-140,36,67,60,77,240
141,std-141,33,88,31,97,249
142,std-142,54,86,62,78,280
143,std-143,44,49,60,39,192
144,std-144,44,17,92,86,239
145,std-145,19,84,99,62,264
146,std-146,29,59,47,48,183
147,std-147,39,58,72,25,194
148,std-148,24,77,94,9,204
149,std-149,76,91,100,41,308
150,std-150,74,62,86,91,313
151,std-151,65,62,63,56,246
152,std-152,38,63,59,82,242
153,std-153,71,58,56,73,258
154,std-154,75,100,100,34,309
155,std-155,68,79,77,89,313
156,std-156,34,91,64,44,233
157,std-157,45,48,67,9,169
158,std-158,46,34,86,59,225
159,std-159,82,87,52,60,281
160,std-160,57,59,95,99,310
161,std-161,0,93,66,80,239
162,std-162,88,71,59,46,257
163,std-163,27,100,73,82,296
164,std-164,17,97,63,44,221
165,std-165,62,87,73,56,268
166,std-166,16,100,47,32,195
167,std-167,89,68,64,99,320
168,std-168,50,60,57,32,199
169,std-169,40,98,53,84,275
170,std-170,56,81,52,69,258
171,std-171,80,70,37,75,262
172,std-172,74,70,36,41,221
173,std-173,23,87,73,86,269
174,std-174,53,51,73,87,264
175,std-175,39,41,48,62,190
176,std-176,30,69,93,91,283
177,std-177,68,91,65,98,322
178,std-178,71,80,58,58,267
179,std-179,14,36,25,67,124
180,std-180,44,80,73,61,285
181,std-181,69,71,49,48,248
182,std-182,58,95,33,49,219
183,std-183,49,70,93,64,276
184,std-184,84,75,67,62,288
185,std-185,55,86,70,92,303
186,std-186,49,90,55,94,288
187,std-187,41,72,63,97,273
188,std-188,49,58,66,34,207
189,std-189,16,100,88,36,240
190,std-190,37,99,52,45,233
191,std-191,87,57,65,60,269
192,std-192,45,100,46,73,264
193,std-193,32,47,61,61,201
194,std-194,62,91,89,63,305
195,std-195,58,88,64,62,272
196,std-196,51,60,54,74,239
197,std-197,45,51,56,74,226
198,std-198,33,63,53,85,234
199,std-199,50,91,78,35,254
200,std-200,57,71,42,80,250
201,std-201,80,100,84,46,310
202,std-202,69,37,37,87,230
203,std-203,39,66,51,40,196
204,std-204,9,95,88,68,260
205,std-205,8,69,61,33,171
206,std-206,17,76,34,72,199
207,std-207,33,54,63,57,207
208,std-208,16,50,81,100,247
209,std-209,65,92,49,30,236
210,std-210,54,85,60,70,269
211,std-211,19,62,58,74,213
212,std-212,51,60,63,47,221
213,std-213,66,95,50,73,284
214,std-214,18,72,10,76,176
215,std-215,58,52,47,29,207
216,std-216,33,71,74,52,231
217,std-217,81,49,73,60,248
218,std-218,35,100,47,67,235
219,std-219,49,67,88,70,268
220,std-220,75,57,42,53,227
221,std-221,40,83,99,100,322
222,std-222,79,100,62,63,304
223,std-223,44,86,65,88,283
224,std-224,20,46,65,15,146
225,std-225,16,70,56,77,219
226,std-226,65,45,56,45,211
227,std-227,68,67,72,30,237
228,std-228,74,66,51,80,271
229,std-229,16,83,66,49,214
230,std-230,65,43,84,13,205
231,std-231,71,88,72,46,277
232,std-232,11,57,91,93,252
233,std-233,44,38,82,67,231
234,std-234,12,64,74,92,242
235,std-235,11,93,56,92,252
236,std-236,54,75,79,58,266
237,std-237,21,58,68,65,212
238,std-238,48,74,58,52,232
239,std-239,40,51,51,74,216
240,std-240,79,74,62,62,277
241,std-241,77,72,94,63,306
242,std-242,19,63,69,58,209
243,std-243,74,77,63,68,282
244,std-244,52,66,73,67,263
245,std-245,51,71,61,80,265
246,std-246,58,77,77,49,260
247,std-247,39,79,62,49,229
248,std-248,43,100,73,42,258
249,std-249,24,52,54,91,221
250,std-250,26,63,96,42,227
251,std-251,68,53,100,41,262
252,std-252,72,100,100,46,318
253,std-253,43,81,89,68,281
254,std-254,68,41,42,54,205
255,std-255,44,70,59,65,238
256,std-256,83,39,56,36,214
257,std-257,60,80,74,71,285
258,std-258,82,100,75,71,328
259,std-259,22,65,48,50,185
260,std-260,83,52,92,77,304
261,std-261,99,78,81,97,355
262,std-262,79,73,94,78,324
263,std-263,55,52,87,54,248
264,std-264,39,89,55,77,260
265,std-265,69,76,60,73,278
266,std-266,50,65,59,64,238
267,std-267,89,74,70,67,300
268,std-268,60,93,63,47,263
269,std-269,53,94,92,63,302
270,std-270,72,98,73,77,320
271,std-271,0,85,99,47,231
272,std-272,83,78,78,86,325
273,std-273,72,60,75,54,261
274,std-274,49,88,75,42,254
275,std-275,16,50,58,40,164
276,std-276,78,60,50,75,263
277,std-277,41,66,52,45,204
278,std-278,33,65,61,59,218
279,std-279,58,64,70,38,230
280,std-280,23,72,90,55,240
281,std-281,46,92,52,32,222
282,std-282,20,74,34,29,157
283,std-283,17,55,44,31,147
284,std-284,25,71,59,69,224
285,std-285,70,48,79,65,262
286,std-286,46,69,70,44,229
287,std-287,41,61,69,44,215
288,std-288,69,36,65,94,264
289,std-289,61,40,72,44,217
290,std-290,68,100,100,62,330
291,std-291,68,65,76,59,268
292,std-292,41,35,66,37,179
293,std-293,24,33,47,11,115
294,std-294,48,94,100,49,291
295,std-295,54,86,87,48,275
296,std-296,37,100,96,64,297
297,std-297,40,59,75,39,213
298,std-298,49,98,79,69,295
299,std-299,73,79,56,66,274
300,std-300,67,100,64,80,311
301,std-301,44,17,57,64,182
302,std-302,47,85,65,25,222
303,std-303,75,96,100,100,371
304,std-304,39,82,53,73,247
305,std-305,44,76,53,10,183
306,std-306,37,100,70,87,294
307,std-307,58,69,86,50,263
308,std-308,72,62,48,82,264
309,std-309,26,76,85,59,246
310,std-310,25,44,56,39,164
311,std-311,59,100,69,75,303
312,std-312,98,100,95,67,360
313,std-313,63,100,55,38,256
314,std-314,64,99,77,89,329
315,std-315,25,51,95,48,219
316,std-316,75,67,80,49,271
317,std-317,17,68,69,23,177
318,std-318,69,57,79,64,269
319,std-319,29,93,69,60,251
320,std-320,37,44,62,69,212
321,std-321,49,62,16,75,202
322,std-322,98,60,70,69,297
323,std-323,30,63,73,43,209
324,std-324,71,100,73,40,284
325,std-325,39,58,34,46,177
326,std-326,19,46,67,9,141
327,std-327,35,95,57,57,244
328,std-328,42,100,100,80,322
329,std-329,86,71,59,47,263
330,std-330,46,94,100,64,304
331,std-331,77,75,63,32,247
332,std-332,79,44,70,78,271
333,std-333,62,83,55,58,258
334,std-334,57,92,96,79,324
335,std-335,30,59,48,42,179
336,std-336,45,74,59,100,278
337,std-337,77,96,58,90,321
338,std-338,43,35,80,82,240
339,std-339,31,78,34,47,190
340,std-340,30,100,87,54,271
341,std-341,61,89,79,80,309
342,std-342,61,89,86,71,307
343,std-343,92,70,45,69,276
344,std-344,50,78,54,69,251
345,std-345,75,86,63,56,280
346,std-346,43,51,83,64,241
347,std-347,64,71,69,64,268
348,std-348,19,17,83,63,182
349,std-349,17,82,65,89,253
350,std-350,68,100,77,89,334
351,std-351,54,79,36,94,263
352,std-352,79,91,83,66,319
353,std-353,51,44,67,82,244
354,std-354,24,81,53,45,203
355,std-355,79,67,76,54,276
356,std-356,19,78,56,75,228
357,std-357,52,76,68,59,255
358,std-358,28,75,30,32,165
359,std-359,86,66,43,12,207
360,std-360,50,100,76,62,288
361,std-361,50,55,66,79,250
362,std-362,20,47,54,61,182
363,std-363,17,81,52,90,240
364,std-364,57,73,87,91,308
365,std-365,47,60,100,76,283
366,std-366,94,63,72,97,326
367,std-367,46,31,69,49,195
368,std-368,70,84,96,81,331
369,std-369,31,26,76,54,187
370,std-370,87,78,100,47,312
371,std-371,24,54,55,83,216
372,std-372,71,97,86,83,337
373,std-373,59,34,93,46,232
374,std-374,36,43,26,45,150
375,std-375,59,65,51,58,233
376,std-376,25,88,91,89,293
377,std-377,6,60,79,38,183
378,std-378,43,82,85,35,245
379,std-379,60,63,95,53,271
380,std-380,70,100,78,89,337
381,std-381,51,42,70,27,190
382,std-382,67,49,38,58,212
383,std-383,23,96,67,38,224
384,std-384,72,88,72,43,275
385,std-385,13,24,53,31,121
386,std-386,89,75,52,86,302
387,std-387,28,17,52,58,155
388,std-388,18,87,100,26,231
389,std-389,45,76,75,51,247
390,std-390,38,100,72,44,254
391,std-391,20,89,88,96,293
392,std-392,48,48,87,71,254
393,std-393,19,76,61,57,213
394,std-394,53,72,63,67,255
395,std-395,30,21,48,40,139
396,std-396,89,99,60,62,310
397,std-397,36,100,61,75,272
398,std-398,81,47,83,85,296
399,std-399,99,100,44,17,260
400,std-400,27,50,51,98,226
401,std-401,60,100,100,56,316
402,std-402,48,71,91,98,308
403,std-403,64,74,49,86,273
404,std-404,73,73,82,29,257
405,std-405,25,40,69,52,186
406,std-406,28,25,45,37,135
407,std-407,54,55,66,100,275
408,std-408,17,59,51,61,188
409,std-409,85,46,76,90,297
410,std-410,27,81,62,37,207
411,std-411,58,85,44,95,275
412,std-412,75,71,69,26,247
413,std-413,27,35,73,43,155
414,std-414,72,61,37,47,217
415,std-415,100,73,51,100,268
416,std-416,54,44,80,50,228
417,std-417,50,77,91,46,264
418,std-418,55,62,81,45,243
419,std-419,37,95,72,57,261
420,std-420,98,60,96,50,304
421,std-421,25,84,60,50,219
422,std-422,53,59,30,48,190
423,std-423,77,39,67,57,240
424,std-424,12,70,73,59,214
425,std-425,57,67,47,95,266
426,std-426,46,61,76,86,269
427,std-427,30,76,70,47,223
428,std-428,45,65,55,81,246
429,std-429,77,93,85,81,336
430,std-430,17,48,73,57,195
431,std-431,35,74,100,94,303
432,std-432,91,98,66,100,355
433,std-433,65,47,34,100,246
434,std-434,74,98,88,83,343
435,std-435,39,96,59,53,247
436,std-436,34,48,52,80,214
437,std-437,54,58,78,100,290
438,std-438,67,54,81,64,266
439,std-439,72,100,98,82,352
440,std-440,72,90,53,94,309
441,std-441,54,86,28,88,256
442,std-442,34,53,54,57,198
443,std-443,50,56,70,72,248
444,std-444,53,73,82,65,273
445,std-445,71,44,64,54,233
446,std-446,48,92,73,54,267
447,std-447,60,95,59,75,289
448,std-448,36,64,64,55,219
449,std-449,97,64,58,34,253
450,std-450,49,98,84,92,323
451,std-451,78,81,51,40,250
452,std-452,21,64,53,55,193
453,std-453,96,84,82,100,362
454,std-454,77,60,29,54,220
455,std-455,43,100,82,80,305
456,std-456,38,100,65,87,290
457,std-457,53,76,72,42,243
458,std-458,53,100,65,53,271
459,std-459,51,65,64,93,273
460,std-460,70,52,45,69,236
461,std-461,85,72,62,48,267
462,std-462,51,48,55,61,215
463,std-463,56,93,69,77,295
464,std-464,75,100,83,38,296
465,std-465,94,44,68,69,275
466,std-466,14,95,50,41,200
467,std-467,80,67,91,70,308
468,std-468,16,77,89,79,261
469,std-469,32,82,53,74,241
470,std-470,84,55,69,80,288
471,std-471,89,62,61,26,238
472,std-472,44,59,77,65,245
473,std-473,57,96,52,61,266
474,std-474,86,77,33,33,229
475,std-475,38,89,64,50,241
476,std-476,89,46,50,89,274
477,std-477,46,52,76,73,247
478,std-478,30,89,52,18,189
479,std-479,30,75,78,59,242
480,std-480,32,43,38,57,170
481,std-481,63,76,44,47,230
482,std-482,95,60,80,81,316
483,std-483,17,97,90,68,272
484,std-484,46,75,37,71,229
485,std-485,33,55,30,76,194
486,std-486,87,96,100,63,346
487,std-487,91,98,84,46,319
488,std-488,40,53,75,86,254
489,std-489,49,59,79,34,221
490,std-490,23,51,69,59,202
491,std-491,41,76,95,97,309
492,std-492,29,71,71,55,226
493,std-493,32,25,69,39,165
494,std-494,100,57,54,94,305
495,std-495,46,45,85,56,232
496,std-496,18,70,44,83,215
497,std-497,58,66,56,90,270
498,std-498,96,52,52,80,280
499,std-499,34,86,66,91,277
500,std-500,77,95,61,55,288
501,std-501,32,54,75,35,196
502,std-502,61,72,100,83,316
503,std-503,85,100,62,96,343
504,std-504,15,53,57,63,188
505,std-505,47,70,71,45,233
506,std-506,76,86,84,80,326
507,std-507,37,82,65,96,280
508,std-508,60,85,72,58,275
509,std-509,75,91,86,65,317
510,std-510,50,44,23,80,197
511,std-511,73,46,54,54,227
512,std-512,39,34,72,44,189
513,std-513,90,53,44,100,287
514,std-514,20,58,71,93,242
515,std-515,22,86,87,68,263
516,std-516,44,94,75,100,313
517,std-517,61,63,98,53,275
518,std-518,79,46,42,48,215
519,std-519,48,95,79,84,306
520,std-520,23,68,58,48,197
521,std-521,40,83,62,62,247
522,std-522,63,69,54,80,266
523,std-523,39,83,77,75,274
524,std-524,72,80,82,81,315
525,std-525,83,53,87,60,283
526,std-526,38,47,67,51,203
527,std-527,82,89,100,56,327
528,std-528,73,23,80,69,245
529,std-529,67,55,73,67,267
530,std-530,71,71,54,57,259
531,std-531,58,54,67,46,212
532,std-532,64,71,71,61,267
533,std-533,20,64,42,43,169
534,std-534,99,77,43,61,280
535,std-535,25,100,56,30,211
536,std-536,14,90,98,85,287
537,std-537,25,45,83,55,208
538,std-538,47,48,78,89,262
539,std-539,96,91,66,86,339
540,std-540,31,57,73,82,243
541,std-541,50,34,39,80,203
542,std-542,40,82,25,82,229
543,std-543,54,86,79,73,292
544,std-544,30,35,40,22,127
545,std-545,40,82,84,72,278
546,std-546,39,86,63,72,260
547,std-547,49,60,79,83,271
548,std-548,89,51,84,45,269
549,std-549,27,69,80,27,203
550,std-550,27,73,69,64,233
551,std-551,42,93,55,100,290
552,std-552,36,73,72,100,281
553,std-553,53,53,23,51,180
554,std-554,100,45,66,82,293
555,std-555,43,72,100,38,253
556,std-556,72,40,83,92,287
557,std-557,43,100,82,72,297
558,std-558,68,83,92,66,309
559,std-559,52,27,80,49,208
560,std-560,100,91,72,55,318
561,std-561,62,53,68,55,238
562,std-562,34,51,47,42,174
563,std-563,62,83,56,31,232
564,std-564,31,51,68,54,204
565,std-565,55,72,96,75,298
566,std-566,83,94,100,86,363
567,std-567,25,56,81,71,233
568,std-568,22,100,41,48,211
569,std-569,49,67,60,9,185
570,std-570,97,55,71,87,310
571,std-571,70,63,100,48,281
572,std-572,25,22,66,70,183
573,std-573,78,42,91,100,311
574,std-574,58,95,100,88,341
575,std-575,0,48,86,82,216
576,std-576,51,58,76,81,266
577,std-577,45,100,87,59,291
578,std-578,23,97,49,44,213
579,std-579,100,31,74,74,279
580,std-580,40,61,65,67,233
581,std-581,30,62,89,42,223
582,std-582,30,73,61,51,215
583,std-583,53,68,52,69,242
584,std-584,66,86,88,45,285
585,std-585,56,57,56,46,215
586,std-586,33,78,85,96,292
587,std-587,11,79,54,52,196
588,std-588,70,92,77,48,287
589,std-589,18,42,70,39,169
590,std-590,67,100,85,99,351
591,std-591,18,70,44,65,197
592,std-592,72,97,92,52,313
593,std-593,68,48,69,86,271
594,std-594,72,58,100,88,318
595,std-595,93,89,77,36,295
596,std-596,47,72,100,58,277
597,std-597,39,35,44,96,214
598,std-598,33,93,80,74,280
599,std-599,50,97,78,79,304
600,std-600,32,82,61,69,244
601,std-601,70,87,85,42,284
602,std-602,33,87,54,14,188
603,std-603,29,77,81,76,263
604,std-604,61,81,33,80,255
605,std-605,50,17,34,60,161
606,std-606,36,79,66,59,240
607,std-607,70,37,76,42,225
608,std-608,46,84,73,80,283
609,std-609,48,80,47,58,233
610,std-610,74,87,35,77,273
611,std-611,90,70,96,37,293
612,std-612,24,65,93,35,217
613,std-613,12,34,76,66,188
614,std-614,85,76,74,58,293
615,std-615,50,41,76,77,244
616,std-616,24,58,100,39,221
617,std-617,29,91,51,65,236
618,std-618,26,55,55,54,190
619,std-619,98,60,90,100,348
620,std-620,48,65,63,57,233
621,std-621,86,87,95,90,358
622,std-622,81,100,100,65,346
623,std-623,29,79,45,35,188
624,std-624,35,66,95,67,263
625,std-625,59,51,43,72,225
626,std-626,90,85,94,38,307
627,std-627,96,36,78,76,286
628,std-628,27,80,100,10,217
629,std-629,19,44,61,56,180
630,std-630,76,66,89,96,327
631,std-631,78,38,28,44,188
632,std-632,48,77,81,15,221
633,std-633,40,86,54,28,208
634,std-634,63,79,85,55,282
635,std-635,41,76,81,72,270
636,std-636,24,49,59,36,168
637,std-637,42,70,94,82,288
638,std-638,100,40,38,59,237
639,std-639,78,35,81,50,244
640,std-640,100,61,38,29,228
641,std-641,52,49,44,65,210
642,std-642,69,49,61,36,215
643,std-643,43,72,71,43,229
644,std-644,79,75,69,77,300
645,std-645,66,94,73,100,333
646,std-646,68,100,89,96,353
647,std-647,50,82,87,100,319
648,std-648,49,88,79,75,291
649,std-649,34,66,100,80,280
650,std-650,58,98,54,75,246
651,std-651,28,71,90,82,260
652,std-652,83,34,73,100,281
653,std-653,38,72,68,67,228
654,std-654,96,88,72,95,268
655,std-655,21,100,79,100,300
656,std-656,69,100,71,86,326
657,std-657,68,98,89,76,331
658,std-658,20,74,87,60,241
659,std-659,54,48,82,66,250
660,std-660,16,72,54,64,206
661,std-661,47,91,63,69,270
662,std-662,35,100,62,83,280
663,std-663,49,67,95,37,248
664,std-664,35,69,48,75,227
665,std-665,91,46,50,86,273
666,std-666,31,76,89,55,251
667,std-667,25,53,53,59,190
668,std-668,43,75,59,45,222
669,std-669,86,100,54,55,295
670,std-670,40,91,100,43,274
671,std-671,39,85,68,66,258
672,std-672,43,49,63,41,196
673,std-673,21,52,52,49,174
674,std-674,67,78,85,69,299
675,std-675,14,89,48,44,195
676,std-676,29,65,66,66,226
677,std-677,94,73,82,51,300
678,std-678,33,58,84,62,237
679,std-679,35,76,53,64,228
680,std-680,49,75,48,56,228
681,std-681,56,75,70,80,281
682,std-682,42,84,64,88,278
683,std-683,57,48,57,49,211
684,std-684,98,17,70,15,200
685,std-685,73,99,66,49,287
686,std-686,47,70,71,92,280
687,std-687,64,80,35,95,274
688,std-688,16,42,58,53,169
689,std-689,98,63,78,61,300
690,std-690,62,56,39,46,203
691,std-691,32,73,74,55,234
692,std-692,48,76,67,21,212
693,std-693,57,47,30,57,191
694,std-694,33,62,57,48,200
695,std-695,59,94,86,76,315
696,std-696,52,100,49,68,269
697,std-697,44,79,77,18,218
698,std-698,49,88,73,68,278
699,std-699,20,53,83,35,191
700,std-700,21,62,56,38,177
701,std-701,51,99,76,99,325
702,std-702,51,65,48,63,227
703,std-703,28,51,56,69,204
704,std-704,62,100,88,77,327
705,std-705,63,75,74,90,302
706,std-706,30,54,52,37,173
707,std-707,89,56,60,53,258
708,std-708,56,62,58,71,247
709,std-709,30,54,40,100,224
710,std-710,69,68,70,56,263
711,std-711,20,100,62,52,234
712,std-712,59,87,43,99,288
713,std-713,58,100,49,100,307
714,std-714,66,72,59,51,248
715,std-715,73,60,58,53,244
716,std-716,79,44,36,53,212
717,std-717,62,57,68,81,268
718,std-718,89,93,72,68,322
719,std-719,76,87,84,78,325
720,std-720,30,100,64,48,242
721,std-721,22,98,92,67,279
722,std-722,100,88,80,58,326
723,std-723,69,94,90,100,353
724,std-724,91,74,88,31,284
725,std-725,61,45,51,49,206
726,std-726,63,70,58,75,266
727,std-727,52,33,36,53,174
728,std-728,81,76,55,76,288
729,std-729,26,84,23,83,216
730,std-730,78,17,10,83,188
731,std-731,51,77,95,87,310
732,std-732,23,52,48,50,173
733,std-733,46,44,80,64,234
734,std-734,35,34,78,36,183
735,std-735,28,61,64,68,221
736,std-736,80,86,80,40,286
737,std-737,33,100,59,86,278
738,std-738,42,43,74,78,237
739,std-739,24,73,45,92,234
740,std-740,97,68,67,100,332
741,std-741,33,69,34,85,221
742,std-742,80,73,76,85,314
743,std-743,22,81,66,60,229
744,std-744,37,71,74,45,227
745,std-745,75,99,68,97,339
746,std-746,57,59,88,55,259
747,std-747,72,66,72,9,219
748,std-748,73,61,100,60,294
749,std-749,100,90,71,56,317
750,std-750,100,91,97,71,359
751,std-751,17,67,68,59,211
752,std-752,65,86,70,100,321
753,std-753,91,76,94,83,344
754,std-754,23,69,35,64,191
755,std-755,38,87,30,71,226
756,std-756,45,69,52,26,192
757,std-757,38,100,71,60,269
758,std-758,84,96,73,59,312
759,std-759,30,71,50,74,225
760,std-760,27,58,51,69,205
761,std-761,67,93,58,81,299
762,std-762,56,61,79,91,287
763,std-763,62,94,98,60,314
764,std-764,8,52,81,54,195
765,std-765,33,97,25,58,213
766,std-766,77,81,70,89,317
767,std-767,69,93,73,88,323
768,std-768,87,71,73,67,266
769,std-769,49,100,57,49,255
770,std-770,85,65,82,53,285
771,std-771,48,96,71,54,269
772,std-772,49,49,88,87,273
773,std-773,52,17,53,100,222
774,std-774,33,71,69,54,227
775,std-775,57,94,76,45,272
776,std-776,13,44,96,66,219
777,std-777,68,83,87,61,299
778,std-778,37,57,71,29,194
779,std-779,31,100,87,82,300
780,std-780,81,91,76,81,329
781,std-781,57,97,59,84,297
782,std-782,71,92,80,88,331
783,std-783,17,72,84,72,245
784,std-784,44,77,59,77,257
785,std-785,30,17,33,9,89
786,std-786,19,78,74,65,236
787,std-787,43,100,54,51,248
788,std-788,84,17,67,51,219
789,std-789,92,54,74,85,305
790,std-790,69,73,99,31,272
791,std-791,14,66,72,61,213
792,std-792,42,79,68,32,221
793,std-793,64,81,82,92,319
794,std-794,22,86,55,44,207
795,std-795,49,63,75,82,269
796,std-796,30,54,52,11,147
797,std-797,51,80,44,56,231
798,std-798,41,67,85,70,263
799,std-799,95,73,68,58,294
800,std-800,44,100,68,69,281
801,std-801,40,100,82,85,307
802,std-802,33,86,52,74,245
803,std-803,35,64,62,56,217
804,std-804,21,87,74,51,233
805,std-805,19,62,55,58,194
806,std-806,25,96,100,81,302
807,std-807,61,48,63,68,240
808,std-808,28,93,48,95,264
809,std-809,19,70,42,91,222
810,std-810,34,79,96,51,260
811,std-811,81,90,81,65,317
812,std-812,81,57,51,46,235
813,std-813,62,94,48,72,276
814,std-814,45,55,58,62,220
815,std-815,45,20,34,71,170
816,std-816,75,81,46,67,269
817,std-817,69,54,52,50,225
818,std-818,43,54,71,75,243
819,std-819,25,63,50,52,190
820,std-820,64,70,57,76,267
821,std-821,36,85,84,100,305
822,std-822,18,77,76,89,260
823,std-823,46,84,73,48,251
824,std-824,19,100,83,70,272
825,std-825,51,74,49,54,228
826,std-826,49,44,37,77,207
827,std-827,31,89,49,98,267
828,std-828,60,86,71,57,274
829,std-829,41,53,30,9,133
830,std-830,61,90,70,62,283
831,std-831,29,72,87,78,266
832,std-832,34,58,47,32,171
833,std-833,30,69,95,30,224
834,std-834,13,47,15,88,163
835,std-835,100,55,57,48,260
836,std-836,48,97,70,59,274
837,std-837,64,59,43,87,253
838,std-838,94,77,72,76,319
839,std-839,19,87,81,26,213
840,std-840,22,33,65,100,220
841,std-841,77,74,90,34,275
842,std-842,28,66,60,9,163
843,std-843,64,75,67,47,253
844,std-844,55,85,60,85,285
845,std-845,79,92,87,41,299
846,std-846,72,100,47,81,300
847,std-847,67,74,67,66,274
848,std-848,51,94,68,100,313
849,std-849,34,63,65,96,258
850,std-850,74,74,94,56,298
851,std-851,82,67,76,48,273
852,std-852,95,64,38,73,270
853,std-853,32,68,56,67,223
854,std-854,83,65,83,91,322
855,std-855,54,71,60,31,216
856,std-856,44,55,44,47,190
857,std-857,34,59,38,52,183
858,std-858,17,49,62,43,171
859,std-859,59,47,39,62,207
860,std-860,66,88,66,64,284
861,std-861,37,58,93,61,249
862,std-862,34,94,89,41,258
863,std-863,34,93,71,36,234
864,std-864,83,70,53,81,287
865,std-865,34,63,52,96,245
866,std-866,72,77,52,55,256
867,std-867,20,60,63,42,185
868,std-868,69,100,16,100,285
869,std-869,24,91,100,82,297
870,std-870,44,87,55,29,215
871,std-871,53,30,62,9,154
