grade_id,roll_no,math_grade,reading_grade,writing_grade,science_grade,overall_grade
67,std-67,A,F,F,F,C
68,std-68,C,B,D,D,B
69,std-69,B,B,F,C,B
70,std-70,A,D,F,C,B
71,std-71,F,B,D,F,C
72,std-72,C,B,D,C,B
73,std-73,F,C,A,F,C
74,std-74,F,F,D,D,C
75,std-75,B,F,F,C,C
76,std-76,F,F,F,F,D
77,std-77,F,D,F,F,D
78,std-78,F,F,A,C,B
79,std-79,F,A,C,F,C
80,std-80,F,F,F,C,D
81,std-81,F,D,A,B,B
82,std-82,F,C,C,A,B
83,std-83,F,C,F,C,C
84,std-84,F,D,F,F,D
85,std-85,C,D,F,F,C
86,std-86,F,B,F,C,B
87,std-87,F,B,B,F,C
88,std-88,C,C,F,B,B
89,std-89,F,B,F,F,C
90,std-90,C,D,F,F,B
91,std-91,D,F,F,F,D
92,std-92,F,F,C,C,B
93,std-93,F,B,B,A,B
94,std-94,F,F,F,D,D
95,std-95,C,B,F,D,C
96,std-96,A,B,F,C,B
97,std-97,D,A,A,F,B
98,std-98,D,D,D,F,C
99,std-99,F,D,F,F,D
100,std-100,F,F,D,A,D
101,std-101,F,C,D,F,C
102,std-102,C,B,D,F,C
103,std-103,B,B,B,C,A
104,std-104,F,A,A,A,A
105,std-105,F,A,D,F,D
106,std-106,F,C,C,F,C
107,std-107,F,C,F,F,C
108,std-108,F,D,A,C,B
109,std-109,F,D,D,F,C
110,std-110,C,B,C,B,B
111,std-111,F,D,F,F,D
112,std-112,F,F,F,F,C
113,std-113,F,B,A,B,A
114,std-114,F,D,C,D,C
115,std-115,F,A,C,C,B
116,std-116,F,F,B,F,C
117,std-117,F,F,F,F,D
118,std-118,D,A,F,F,C
119,std-119,F,A,C,F,C
120,std-120,D,F,F,F,C
121,std-121,F,D,C,F,C
122,std-122,A,D,A,D,A
123,std-123,B,A,D,C,A
124,std-124,C,B,F,A,B
125,std-125,A,A,D,F,A
126,std-126,F,C,F,F,D
127,std-127,F,A,D,A,B
128,std-128,D,B,C,C,B
129,std-129,F,A,A,D,B
130,std-130,F,F,F,F,F
131,std-131,D,F,A,F,B
132,std-132,C,C,A,B,A
133,std-133,B,B,C,A,A
134,std-134,F,A,F,F,C
135,std-135,F,B,C,A,B
136,std-136,A,B,C,A,A
137,std-137,C,F,C,F,B
138,std-138,D,D,B,A,B
139,std-139,F,C,B,D,B
140,std-140,F,D,F,C,C
141,std-141,F,B,F,A,C
142,std-142,F,B,D,C,B
143,std-143,F,F,F,F,D
144,std-144,F,F,A,B,C
145,std-145,F,B,A,D,B
146,std-146,F,F,F,F,D
147,std-147,F,F,C,F,D
148,std-148,F,C,A,F,C
149,std-149,C,A,A,F,B
150,std-150,C,D,B,A,B
151,std-151,D,D,D,F,C
152,std-152,F,D,F,B,C
153,std-153,C,F,F,C,B
154,std-154,C,A,A,F,B
155,std-155,D,C,C,B,B
156,std-156,F,A,D,F,C
157,std-157,F,F,D,F,D
158,std-158,F,F,B,F,C
159,std-159,B,B,F,F,B
160,std-160,F,F,A,A,B
161,std-161,F,A,D,C,C
162,std-162,B,C,F,F,B
163,std-163,F,A,C,B,B
164,std-164,F,A,D,F,C
165,std-165,D,B,C,F,B
166,std-166,F,A,F,F,D
167,std-167,B,D,D,A,A
168,std-168,F,F,F,F,D
169,std-169,F,A,F,B,B
170,std-170,F,B,F,D,B
171,std-171,C,D,F,C,B
172,std-172,C,D,F,F,C
173,std-173,F,B,C,B,B
174,std-174,F,F,C,B,B
175,std-175,F,F,F,D,D
176,std-176,F,D,A,A,B
177,std-177,D,A,D,A,A
178,std-178,C,C,F,F,B
179,std-179,F,F,F,D,F
180,std-180,F,C,C,D,B
181,std-181,D,C,F,F,C
182,std-182,F,A,F,F,C
183,std-183,F,D,A,D,B
184,std-184,B,C,D,D,B
185,std-185,F,B,D,A,B
186,std-186,F,B,F,A,B
187,std-187,F,C,D,A,B
188,std-188,F,F,D,F,C
189,std-189,F,A,B,F,C
190,std-190,F,A,F,F,C
191,std-191,B,F,D,F,B
192,std-192,F,A,F,C,B
193,std-193,F,F,D,D,C
194,std-194,D,A,B,D,B
195,std-195,F,B,D,D,B
196,std-196,F,F,F,C,C
197,std-197,F,F,F,C,C
198,std-198,F,D,F,B,C
199,std-199,F,A,C,F,B
200,std-200,F,C,F,C,B
201,std-201,C,A,B,F,B
202,std-202,D,F,F,B,C
203,std-203,F,D,F,F,D
204,std-204,F,A,B,D,B
205,std-205,F,D,D,F,D
206,std-206,F,C,F,C,D
207,std-207,F,F,D,F,C
208,std-208,F,F,B,A,C
209,std-209,D,A,F,F,C
210,std-210,F,B,F,D,B
211,std-211,F,D,F,C,C
212,std-212,F,F,D,F,C
213,std-213,D,A,F,C,B
214,std-214,F,C,F,C,D
215,std-215,F,F,F,F,C
216,std-216,F,C,C,F,C
217,std-217,B,F,C,F,C
218,std-218,F,A,F,D,C
219,std-219,F,D,B,D,B
220,std-220,C,F,F,F,C
221,std-221,F,B,A,A,A
222,std-222,C,A,D,D,B
223,std-223,F,B,D,B,B
224,std-224,F,F,D,F,F
225,std-225,F,D,F,C,C
226,std-226,D,F,F,F,C
227,std-227,D,D,C,F,C
228,std-228,C,D,F,C,B
229,std-229,F,B,D,F,C
230,std-230,D,F,B,F,C
231,std-231,C,B,C,F,B
232,std-232,F,F,A,A,B
233,std-233,F,F,B,D,C
234,std-234,F,D,C,A,C
235,std-235,F,A,F,A,B
236,std-236,F,C,C,F,B
237,std-237,F,F,D,D,C
238,std-238,F,C,F,F,C
239,std-239,F,F,F,C,C
240,std-240,C,C,D,D,B
241,std-241,C,C,A,D,B
242,std-242,F,D,D,F,C
243,std-243,C,C,D,D,B
244,std-244,F,D,C,D,B
245,std-245,F,C,D,C,B
246,std-246,F,C,C,F,B
247,std-247,F,C,D,F,C
248,std-248,F,A,C,F,B
249,std-249,F,F,F,A,C
250,std-250,F,D,A,F,C
251,std-251,D,F,A,F,B
252,std-252,C,A,A,F,B
253,std-253,F,B,B,D,B
254,std-254,D,F,F,F,C
255,std-255,F,D,F,D,C
256,std-256,B,F,F,F,C
257,std-257,F,C,C,C,B
258,std-258,B,A,C,C,A
259,std-259,F,D,F,F,D
260,std-260,B,F,A,C,B
261,std-261,A,C,B,A,A
262,std-262,C,C,A,C,A
263,std-263,F,F,B,F,C
264,std-264,F,B,F,C,B
265,std-265,D,C,F,C,B
266,std-266,F,D,F,D,C
267,std-267,B,C,D,D,B
268,std-268,F,A,D,F,B
269,std-269,F,A,A,D,B
270,std-270,C,A,C,C,A
271,std-271,F,B,A,F,C
272,std-272,B,C,C,B,A
273,std-273,C,F,C,F,B
274,std-274,F,B,C,F,B
275,std-275,F,F,F,F,D
276,std-276,C,F,F,C,B
277,std-277,F,D,F,F,C
278,std-278,F,D,D,F,C
279,std-279,F,D,D,F,C
280,std-280,F,C,B,F,C
281,std-281,F,A,F,F,C
282,std-282,F,C,F,F,D
283,std-283,F,F,F,F,F
284,std-284,F,C,F,D,C
285,std-285,D,F,C,D,B
286,std-286,F,D,D,F,C
287,std-287,F,D,D,F,C
288,std-288,D,F,D,A,B
289,std-289,D,F,C,F,C
290,std-290,D,A,A,D,A
291,std-291,D,D,C,F,B
292,std-292,F,F,D,F,D
293,std-293,F,F,F,F,F
294,std-294,F,A,A,F,B
295,std-295,F,B,B,F,B
296,std-296,F,A,A,D,B
297,std-297,F,F,C,F,C
298,std-298,F,A,C,D,B
299,std-299,C,C,F,D,B
300,std-300,D,A,D,C,B
301,std-301,F,F,F,D,D
302,std-302,F,B,D,F,C
303,std-303,C,A,A,A,A
304,std-304,F,B,F,C,C
305,std-305,F,C,F,F,D
306,std-306,F,A,D,B,B
307,std-307,F,D,B,F,B
308,std-308,C,D,F,B,B
309,std-309,F,C,B,F,C
310,std-310,F,F,F,F,D
311,std-311,F,A,D,C,B
312,std-312,A,A,A,D,A
313,std-313,D,A,F,F,B
314,std-314,D,A,C,B,A
315,std-315,F,F,A,F,C
316,std-316,C,D,C,F,B
317,std-317,F,D,D,F,D
318,std-318,D,F,C,D,B
319,std-319,F,A,D,F,B
320,std-320,F,F,D,D,C
321,std-321,F,D,F,C,C
322,std-322,A,F,D,D,B
323,std-323,F,D,C,F,C
324,std-324,C,A,C,F,B
325,std-325,F,F,F,F,D
326,std-326,F,F,D,F,F
327,std-327,F,A,F,F,C
328,std-328,F,A,A,C,A
329,std-329,B,C,F,F,B
330,std-330,F,A,A,D,B
331,std-331,C,C,D,F,C
332,std-332,C,F,D,C,B
333,std-333,D,B,F,F,B
334,std-334,F,A,A,C,A
335,std-335,F,F,F,F,D
336,std-336,F,C,F,A,B
337,std-337,C,A,F,B,A
338,std-338,F,F,C,B,C
339,std-339,F,C,F,F,D
340,std-340,F,A,B,F,B
341,std-341,D,B,C,C,B
342,std-342,D,B,B,C,B
343,std-343,A,D,F,D,B
344,std-344,F,C,F,D,B
345,std-345,C,B,D,F,B
346,std-346,F,F,B,D,C
347,std-347,D,C,D,D,B
348,std-348,F,F,B,D,D
349,std-349,F,B,D,B,B
350,std-350,D,A,C,B,A
351,std-351,F,C,F,A,B
352,std-352,C,A,B,D,B
353,std-353,F,F,D,B,C
354,std-354,F,B,F,F,C
355,std-355,C,D,C,F,B
356,std-356,F,C,F,C,C
357,std-357,F,C,D,F,B
358,std-358,F,C,F,F,D
359,std-359,B,D,F,F,C
360,std-360,F,A,C,D,B
361,std-361,F,F,D,C,B
362,std-362,F,F,F,D,D
363,std-363,F,B,F,B,C
364,std-364,F,C,B,A,B
365,std-365,F,F,A,C,B
366,std-366,A,D,C,A,A
367,std-367,F,F,D,F,D
368,std-368,D,B,A,B,A
369,std-369,F,F,C,F,D
370,std-370,B,C,A,F,B
371,std-371,F,F,F,B,C
372,std-372,C,A,B,B,A
373,std-373,F,F,A,F,C
374,std-374,F,F,F,F,D
375,std-375,F,D,F,F,C
376,std-376,F,B,A,B,B
377,std-377,F,F,C,F,D
378,std-378,F,B,B,F,C
379,std-379,F,D,A,F,B
380,std-380,D,A,C,B,A
381,std-381,F,F,D,F,D
382,std-382,D,F,F,F,C
383,std-383,F,A,D,F,C
384,std-384,C,B,C,F,B
385,std-385,F,F,F,F,F
386,std-386,B,C,F,B,B
387,std-387,F,F,F,F,D
388,std-388,F,B,A,F,C
389,std-389,F,C,C,F,C
390,std-390,F,A,C,F,B
391,std-391,F,B,B,A,B
392,std-392,F,F,B,C,B
393,std-393,F,C,D,F,C
394,std-394,F,C,D,D,B
395,std-395,F,F,F,F,F
396,std-396,B,A,F,D,B
397,std-397,F,A,D,C,B
398,std-398,B,F,B,B,B
399,std-399,A,A,F,F,B
400,std-400,F,F,F,A,C
401,std-401,F,A,A,F,B
402,std-402,F,C,A,A,B
403,std-403,D,C,F,B,B
404,std-404,C,C,B,F,B
405,std-405,F,F,D,F,D
406,std-406,F,F,F,F,F
407,std-407,F,F,D,A,B
408,std-408,F,F,F,D,D
409,std-409,B,F,C,B,B
410,std-410,F,B,D,F,C
411,std-411,F,B,F,A,B
412,std-412,C,C,D,F,C
413,std-413,F,F,C,F,D
414,std-414,C,D,F,F,C
415,std-415,A,C,F,A,A
416,std-416,F,F,C,F,C
417,std-417,F,C,A,F,B
418,std-418,F,D,B,F,C
419,std-419,F,A,C,F,B
420,std-420,A,F,A,F,B
421,std-421,F,B,F,F,C
422,std-422,F,F,F,F,D
423,std-423,C,F,D,F,C
424,std-424,F,D,C,F,C
425,std-425,F,D,F,A,B
426,std-426,F,D,C,B,B
427,std-427,F,C,D,F,C
428,std-428,F,D,F,B,C
429,std-429,C,A,B,B,A
430,std-430,F,F,C,F,D
431,std-431,F,C,A,A,B
432,std-432,A,A,D,A,A
433,std-433,D,F,F,A,C
434,std-434,C,A,B,B,A
435,std-435,F,A,F,F,C
436,std-436,F,F,F,C,C
437,std-437,F,F,C,A,B
438,std-438,D,F,B,D,B
439,std-439,C,A,A,B,A
440,std-440,C,B,F,A,B
441,std-441,F,B,F,B,B
442,std-442,F,F,F,F,D
443,std-443,F,F,D,C,C
444,std-444,F,C,B,D,B
445,std-445,C,F,D,F,C
446,std-446,F,A,C,F,B
447,std-447,F,A,F,C,B
448,std-448,F,D,D,F,C
449,std-449,A,D,F,F,B
450,std-450,F,A,B,A,A
451,std-451,C,B,F,F,B
452,std-452,F,D,F,F,D
453,std-453,A,B,B,A,A
454,std-454,C,F,F,F,C
455,std-455,F,A,B,C,B
456,std-456,F,A,D,B,B
457,std-457,F,C,C,F,C
458,std-458,F,A,D,F,B
459,std-459,F,D,D,A,B
460,std-460,D,F,F,D,C
461,std-461,B,C,D,F,B
462,std-462,F,F,F,D,C
463,std-463,F,A,D,C,B
464,std-464,C,A,B,F,B
465,std-465,A,F,D,D,B
466,std-466,F,A,F,F,C
467,std-467,C,D,A,D,B
468,std-468,F,C,B,C,B
469,std-469,F,B,F,C,C
470,std-470,B,F,D,C,B
471,std-471,B,D,D,F,C
472,std-472,F,F,C,D,C
473,std-473,F,A,F,D,B
474,std-474,B,C,F,F,C
475,std-475,F,B,D,F,C
476,std-476,B,F,F,B,B
477,std-477,F,F,C,C,C
478,std-478,F,B,F,F,D
479,std-479,F,C,C,F,C
480,std-480,F,F,F,F,D
481,std-481,D,C,F,F,C
482,std-482,A,F,C,B,B
483,std-483,F,A,B,D,B
484,std-484,F,C,F,C,C
485,std-485,F,F,F,C,D
486,std-486,B,A,A,D,A
487,std-487,A,A,B,F,B
488,std-488,F,F,C,B,B
489,std-489,F,F,C,F,C
490,std-490,F,F,D,F,C
491,std-491,F,C,A,A,B
492,std-492,F,C,C,F,C
493,std-493,F,F,D,F,D
494,std-494,A,F,F,A,B
495,std-495,F,F,B,F,C
496,std-496,F,D,F,B,C
497,std-497,F,D,F,B,B
498,std-498,A,F,F,C,B
499,std-499,F,B,D,A,B
500,std-500,C,A,D,F,B
501,std-501,F,F,C,F,D
502,std-502,D,C,A,B,B
503,std-503,B,A,D,A,A
504,std-504,F,F,F,D,D
505,std-505,F,D,C,F,C
506,std-506,C,B,B,C,A
507,std-507,F,B,D,A,B
508,std-508,F,B,C,F,B
509,std-509,C,A,B,D,B
510,std-510,F,F,F,C,D
511,std-511,C,F,F,F,C
512,std-512,F,F,C,F,D
513,std-513,B,F,F,A,B
514,std-514,F,F,C,A,C
515,std-515,F,B,B,D,B
516,std-516,F,A,C,A,B
517,std-517,D,D,A,F,B
518,std-518,C,F,F,F,C
519,std-519,F,A,C,B,B
520,std-520,F,D,F,F,D
521,std-521,F,B,D,D,C
522,std-522,D,D,F,C,B
523,std-523,F,B,C,C,B
524,std-524,C,C,B,B,B
525,std-525,B,F,B,F,B
526,std-526,F,F,D,F,C
527,std-527,B,B,A,F,A
528,std-528,C,F,C,D,C
529,std-529,D,F,C,D,B
530,std-530,C,C,F,F,B
531,std-531,F,F,D,F,C
532,std-532,D,C,C,D,B
533,std-533,F,D,F,F,D
534,std-534,A,C,F,D,B
535,std-535,F,A,F,F,C
536,std-536,F,B,A,B,B
537,std-537,F,F,B,F,C
538,std-538,F,F,C,B,B
539,std-539,A,A,D,B,A
540,std-540,F,F,C,B,C
541,std-541,F,F,F,C,C
542,std-542,F,B,F,B,C
543,std-543,F,B,C,C,B
544,std-544,F,F,F,F,F
545,std-545,F,B,B,C,B
546,std-546,F,B,D,C,B
547,std-547,F,F,C,B,B
548,std-548,B,F,B,F,B
549,std-549,F,D,C,F,C
550,std-550,F,C,D,D,C
551,std-551,F,A,F,A,B
552,std-552,F,C,C,A,B
553,std-553,F,F,F,F,D
554,std-554,A,F,D,B,B
555,std-555,F,C,A,F,B
556,std-556,C,F,B,A,B
557,std-557,F,A,B,C,B
558,std-558,D,B,A,D,B
559,std-559,F,F,C,F,C
560,std-560,A,A,C,F,B
561,std-561,D,F,D,F,C
562,std-562,F,F,F,F,D
563,std-563,D,B,F,F,C
564,std-564,F,F,D,F,C
565,std-565,F,C,A,C,B
566,std-566,B,A,A,B,A
567,std-567,F,F,B,C,C
568,std-568,F,A,F,F,C
569,std-569,F,D,F,F,D
570,std-570,A,F,C,B,B
571,std-571,D,D,A,F,B
572,std-572,F,F,D,D,D
573,std-573,C,F,A,A,B
574,std-574,F,A,A,B,A
575,std-575,F,F,B,B,C
576,std-576,F,F,C,B,B
577,std-577,F,A,B,F,B
578,std-578,F,A,F,F,C
579,std-579,A,F,C,C,B
580,std-580,F,D,D,D,C
581,std-581,F,D,B,F,C
582,std-582,F,C,D,F,C
583,std-583,F,D,F,D,C
584,std-584,D,B,B,F,B
585,std-585,F,F,F,F,C
586,std-586,F,C,B,A,B
587,std-587,F,C,F,F,D
588,std-588,D,A,C,F,B
589,std-589,F,F,D,F,D
590,std-590,D,A,B,A,A
591,std-591,F,D,F,D,D
592,std-592,C,A,A,F,B
593,std-593,D,F,D,B,B
594,std-594,C,F,A,B,B
595,std-595,A,B,C,F,B
596,std-596,F,C,A,F,B
597,std-597,F,F,F,A,C
598,std-598,F,A,C,C,B
599,std-599,F,A,C,C,B
600,std-600,F,B,D,D,C
601,std-601,D,B,B,F,B
602,std-602,F,B,F,F,D
603,std-603,F,C,B,C,B
604,std-604,D,B,F,C,B
605,std-605,F,F,F,F,D
606,std-606,F,C,D,F,C
607,std-607,D,F,C,F,C
608,std-608,F,B,C,C,B
609,std-609,F,C,F,F,C
610,std-610,C,B,F,C,B
611,std-611,B,D,A,F,B
612,std-612,F,D,A,F,C
613,std-613,F,F,C,D,D
614,std-614,B,C,C,F,B
615,std-615,F,F,C,C,C
616,std-616,F,F,A,F,C
617,std-617,F,A,F,D,C
618,std-618,F,F,F,F,D
619,std-619,A,F,B,A,A
620,std-620,F,D,D,F,C
621,std-621,B,B,A,B,A
622,std-622,B,A,A,D,A
623,std-623,F,C,F,F,D
624,std-624,F,D,A,D,B
625,std-625,F,F,F,C,C
626,std-626,B,B,A,F,B
627,std-627,A,F,C,C,B
628,std-628,F,C,A,F,C
629,std-629,F,F,D,F,D
630,std-630,C,D,B,A,A
631,std-631,C,F,F,F,D
632,std-632,F,C,B,F,C
633,std-633,F,B,F,F,C
634,std-634,D,C,B,F,B
635,std-635,F,C,B,C,B
636,std-636,F,F,F,F,D
637,std-637,F,D,A,B,B
638,std-638,A,F,F,F,C
639,std-639,C,F,B,F,C
640,std-640,A,D,F,F,C
641,std-641,F,F,F,D,C
642,std-642,D,F,D,F,C
643,std-643,F,C,C,F,C
644,std-644,C,C,D,C,B
645,std-645,D,A,C,A,A
646,std-646,D,A,B,A,A
647,std-647,F,B,B,A,B
648,std-648,F,B,C,C,B
649,std-649,F,D,A,C,B
650,std-650,F,A,F,C,C
651,std-651,F,C,B,B,B
652,std-652,B,F,C,A,B
653,std-653,F,C,D,D,C
654,std-654,A,B,C,A,A
655,std-655,F,A,C,A,B
656,std-656,D,A,C,B,A
657,std-657,D,A,B,C,A
658,std-658,F,C,B,F,C
659,std-659,F,F,B,D,B
660,std-660,F,C,F,D,C
661,std-661,F,A,D,D,B
662,std-662,F,A,D,B,B
663,std-663,F,D,A,F,C
664,std-664,F,D,F,C,C
665,std-665,A,F,F,B,B
666,std-666,F,C,B,F,B
667,std-667,F,F,F,F,D
668,std-668,F,C,F,F,C
669,std-669,B,A,F,F,B
670,std-670,F,A,A,F,B
671,std-671,F,B,D,D,B
672,std-672,F,F,D,F,D
673,std-673,F,F,F,F,D
674,std-674,D,C,B,D,B
675,std-675,F,B,F,F,D
676,std-676,F,D,D,D,C
677,std-677,A,C,B,F,B
678,std-678,F,F,B,D,C
679,std-679,F,C,F,D,C
680,std-680,F,C,F,F,C
681,std-681,F,C,D,C,B
682,std-682,F,B,D,B,B
683,std-683,F,F,F,F,C
684,std-684,A,F,D,F,C
685,std-685,C,A,D,F,B
686,std-686,F,D,C,A,B
687,std-687,D,C,F,A,B
688,std-688,F,F,F,F,D
689,std-689,A,D,C,D,B
690,std-690,D,F,F,F,C
691,std-691,F,C,C,F,C
692,std-692,F,C,D,F,C
693,std-693,F,F,F,F,D
694,std-694,F,D,F,F,C
695,std-695,F,A,B,C,B
696,std-696,F,A,F,D,B
697,std-697,F,C,C,F,C
698,std-698,F,B,C,D,B
699,std-699,F,F,B,F,D
700,std-700,F,D,F,F,D
701,std-701,F,A,C,A,A
702,std-702,F,D,F,D,C
703,std-703,F,F,F,D,C
704,std-704,D,A,B,C,A
705,std-705,D,C,C,B,B
706,std-706,F,F,F,F,D
707,std-707,B,F,F,F,B
708,std-708,F,D,F,C,C
709,std-709,F,F,F,A,C
710,std-710,D,D,D,F,B
711,std-711,F,A,D,F,C
712,std-712,F,B,F,A,B
713,std-713,F,A,F,A,B
714,std-714,D,C,F,F,C
715,std-715,C,F,F,F,C
716,std-716,C,F,F,F,C
717,std-717,D,F,D,B,B
718,std-718,B,A,C,D,A
719,std-719,C,B,B,C,A
720,std-720,F,A,D,F,C
721,std-721,F,A,A,D,B
722,std-722,A,B,C,F,A
723,std-723,D,A,B,A,A
724,std-724,A,C,B,F,B
725,std-725,D,F,F,F,C
726,std-726,D,D,F,C,B
727,std-727,F,F,F,F,D
728,std-728,B,C,F,C,B
729,std-729,F,B,F,B,C
730,std-730,C,F,F,B,D
731,std-731,F,C,A,B,B
732,std-732,F,F,F,F,D
733,std-733,F,F,C,D,C
734,std-734,F,F,C,F,D
735,std-735,F,D,D,D,C
736,std-736,C,B,C,F,B
737,std-737,F,A,F,B,B
738,std-738,F,F,C,C,C
739,std-739,F,C,F,A,C
740,std-740,A,D,D,A,A
741,std-741,F,D,F,B,C
742,std-742,C,C,C,B,B
743,std-743,F,B,D,F,C
744,std-744,F,C,C,F,C
745,std-745,C,A,D,A,A
746,std-746,F,F,B,F,B
747,std-747,C,D,C,F,C
748,std-748,C,D,A,F,B
749,std-749,A,B,C,F,B
750,std-750,A,A,A,C,A
751,std-751,F,D,D,F,C
752,std-752,D,B,D,A,A
753,std-753,A,C,A,B,A
754,std-754,F,D,F,D,D
755,std-755,F,B,F,C,C
756,std-756,F,D,F,F,D
757,std-757,F,A,C,F,B
758,std-758,B,A,C,F,B
759,std-759,F,C,F,C,C
760,std-760,F,F,F,D,C
761,std-761,D,A,F,B,B
762,std-762,F,D,C,A,B
763,std-763,D,A,A,F,B
764,std-764,F,F,B,F,D
765,std-765,F,A,F,F,C
766,std-766,C,B,D,B,B
767,std-767,D,A,C,B,A
768,std-768,B,C,C,D,B
769,std-769,F,A,F,F,B
770,std-770,B,D,B,F,B
771,std-771,F,A,C,F,B
772,std-772,F,F,B,B,B
773,std-773,F,F,F,A,C
774,std-774,F,C,D,F,C
775,std-775,F,A,C,F,B
776,std-776,F,F,A,D,C
777,std-777,D,B,B,D,B
778,std-778,F,F,C,F,D
779,std-779,F,A,B,B,B
780,std-780,B,A,C,B,A
781,std-781,F,A,F,B,B
782,std-782,C,A,C,B,A
783,std-783,F,C,B,C,C
784,std-784,F,C,F,C,B
785,std-785,F,F,F,F,F
786,std-786,F,C,C,D,C
787,std-787,F,A,F,F,C
788,std-788,B,F,D,F,C
789,std-789,A,F,C,B,B
790,std-790,D,C,A,F,B
791,std-791,F,D,C,D,C
792,std-792,F,C,D,F,C
793,std-793,D,B,B,A,B
794,std-794,F,B,F,F,C
795,std-795,F,D,C,B,B
796,std-796,F,F,F,F,F
797,std-797,F,C,F,F,C
798,std-798,F,D,B,D,B
799,std-799,A,C,D,F,B
800,std-800,F,A,D,D,B
801,std-801,F,A,B,B,B
802,std-802,F,B,F,C,C
803,std-803,F,D,D,F,C
804,std-804,F,B,C,F,C
805,std-805,F,D,F,F,D
806,std-806,F,A,A,B,B
807,std-807,D,F,D,D,C
808,std-808,F,A,F,A,B
809,std-809,F,D,F,A,C
810,std-810,F,C,A,F,B
811,std-811,B,B,B,D,B
812,std-812,B,F,F,F,C
813,std-813,D,A,F,C,B
814,std-814,F,F,F,D,C
815,std-815,F,F,F,C,D
816,std-816,C,B,F,D,B
817,std-817,D,F,F,F,C
818,std-818,F,F,C,C,C
819,std-819,F,D,F,F,D
820,std-820,D,D,F,C,B
821,std-821,F,B,B,A,B
822,std-822,F,C,C,B,B
823,std-823,F,B,C,F,B
824,std-824,F,A,B,D,B
825,std-825,F,C,F,F,C
826,std-826,F,F,F,C,C
827,std-827,F,B,F,A,B
828,std-828,F,B,C,F,B
829,std-829,F,F,F,F,F
830,std-830,D,B,D,D,B
831,std-831,F,C,B,C,B
832,std-832,F,F,F,F,D
833,std-833,F,D,A,F,C
834,std-834,F,F,F,B,D
835,std-835,A,F,F,F,B
836,std-836,F,A,D,F,B
837,std-837,D,F,F,B,B
838,std-838,A,C,C,C,B
839,std-839,F,B,B,F,C
840,std-840,F,F,D,A,C
841,std-841,C,C,B,F,B
842,std-842,F,D,F,F,D
843,std-843,D,C,D,F,B
844,std-844,F,B,F,B,B
845,std-845,C,A,B,F,B
846,std-846,C,A,F,B,B
847,std-847,D,C,D,D,B
848,std-848,F,A,D,A,B
849,std-849,F,D,D,A,B
850,std-850,C,C,A,F,B
851,std-851,B,D,C,F,B
852,std-852,A,D,F,C,B
853,std-853,F,D,F,D,C
854,std-854,B,D,B,A,A
855,std-855,F,C,F,F,C
856,std-856,F,F,F,F,D
857,std-857,F,F,F,F,D
858,std-858,F,F,D,F,D
859,std-859,F,F,F,D,C
860,std-860,D,B,D,D,B
861,std-861,F,F,A,D,C
862,std-862,F,A,B,F,B
863,std-863,F,A,C,F,C
864,std-864,B,D,F,B,B
865,std-865,F,D,F,A,C
866,std-866,C,C,F,F,B
867,std-867,F,F,D,F,D
868,std-868,D,A,F,A,B
869,std-869,F,A,A,B,B
870,std-870,F,B,F,F,C
