roll_no,gender,math_score,reading_score,writing_score,science_score
std-432,male,91,98,66,100
std-433,male,65,47,34,100
std-434,male,74,98,88,83
std-435,male,39,96,59,53
std-437,male,54,58,78,100
std-439,male,72,100,98,82
std-440,male,72,90,53,94
std-446,male,48,92,73,54
std-447,male,60,95,59,75
std-449,male,97,64,58,34
std-450,male,49,98,84,92
std-453,male,96,84,82,100
std-455,male,43,100,82,80
std-456,male,38,100,65,87
std-458,male,53,100,65,53
std-459,male,51,65,64,93
std-463,male,56,93,69,77
std-464,male,75,100,83,38
std-465,male,94,44,68,69
std-466,male,14,95,50,41
std-467,male,80,67,91,70
std-473,male,57,96,52,61
std-482,male,95,60,80,81
std-483,male,17,97,90,68
std-486,male,87,96,100,63
std-487,male,91,98,84,46
std-491,male,41,76,95,97
std-494,male,100,57,54,94
std-498,male,96,52,52,80
std-499,male,34,86,66,91
std-500,male,77,95,61,55
std-502,male,61,72,100,83
std-503,male,85,100,62,96
std-507,male,37,82,65,96
std-509,male,75,91,86,65
std-513,male,90,53,44,100
std-514,male,20,58,71,93
std-516,male,44,94,75,100
std-517,male,61,63,98,53
std-519,male,48,95,79,84
std-527,male,82,89,100,56
std-534,male,99,77,43,61
std-535,male,25,100,56,30
std-536,male,14,90,98,85
std-539,male,96,91,66,86
std-551,male,42,93,55,100
std-552,male,36,73,72,100
std-554,male,100,45,66,82
std-555,male,43,72,100,38
std-556,male,72,40,83,92
std-557,male,43,100,82,72
std-558,male,68,83,92,66
std-560,male,100,91,72,55
std-565,male,55,72,96,75
std-566,male,83,94,100,86
std-568,male,22,100,41,48
std-570,male,97,55,71,87
std-571,male,70,63,100,48
std-573,male,78,42,91,100
std-574,male,58,95,100,88
std-577,male,45,100,87,59
std-578,male,23,97,49,44
std-579,male,100,31,74,74
std-586,male,33,78,85,96
std-588,male,70,92,77,48
std-590,male,67,100,85,99
std-592,male,72,97,92,52
std-594,male,72,58,100,88
std-595,male,93,89,77,36
std-596,male,47,72,100,58
std-597,male,39,35,44,96
std-598,male,33,93,80,74
std-599,male,50,97,78,79
std-611,male,90,70,96,37
std-612,male,24,65,93,35
std-616,male,24,58,100,39
std-617,male,29,91,51,65
std-619,male,98,60,90,100
std-621,male,86,87,95,90
std-622,male,81,100,100,65
std-624,male,35,66,95,67
std-626,male,90,85,94,38
std-627,male,96,36,78,76
std-628,male,27,80,100,10
std-630,male,76,66,89,96
std-637,male,42,70,94,82
std-638,male,100,40,38,59
std-640,male,100,61,38,29
std-645,male,66,94,73,100
std-646,male,68,100,89,96
std-647,male,50,82,87,100
std-649,male,34,66,100,80
std-650,male,58,98,54,75
std-652,male,83,34,73,100
std-654,male,96,88,72,95
std-655,male,21,100,79,100
std-656,male,69,100,71,86
std-657,male,68,98,89,76
std-661,male,47,91,63,69
std-662,male,35,100,62,83
std-663,male,49,67,95,37
std-665,male,91,46,50,86
std-669,male,86,100,54,55
std-670,male,40,91,100,43
std-677,male,94,73,82,51
std-684,male,98,17,70,15
std-685,male,73,99,66,49
std-686,male,47,70,71,92
std-687,male,64,80,35,95
std-689,male,98,63,78,61
std-695,male,59,94,86,76
std-696,male,52,100,49,68
std-701,male,51,99,76,99
std-704,male,62,100,88,77
std-709,male,30,54,40,100
std-711,male,20,100,62,52
std-712,male,59,87,43,99
std-713,male,58,100,49,100
std-718,male,89,93,72,68
std-720,male,30,100,64,48
std-721,male,22,98,92,67
std-722,male,100,88,80,58
std-723,male,69,94,90,100
std-724,male,91,74,88,31
std-731,male,51,77,95,87
std-737,male,33,100,59,86
std-739,male,24,73,45,92
std-740,male,97,68,67,100
std-745,male,75,99,68,97
std-748,male,73,61,100,60
std-749,male,100,90,71,56
std-750,male,100,91,97,71
std-752,male,65,86,70,100
std-753,male,91,76,94,83
std-757,male,38,100,71,60
std-758,male,84,96,73,59
std-761,male,67,93,58,81
std-762,male,56,61,79,91
std-763,male,62,94,98,60
std-765,male,33,97,25,58
std-767,male,69,93,73,88
std-769,male,49,100,57,49
std-771,male,48,96,71,54
std-773,male,52,17,53,100
std-775,male,57,94,76,45
std-776,male,13,44,96,66
std-779,male,31,100,87,82
std-780,male,81,91,76,81
std-781,male,57,97,59,84
std-782,male,71,92,80,88
std-787,male,43,100,54,51
std-789,male,92,54,74,85
std-790,male,69,73,99,31
std-793,male,64,81,82,92
std-799,male,95,73,68,58
std-800,male,44,100,68,69
std-801,male,40,100,82,85
std-806,male,25,96,100,81
std-808,male,28,93,48,95
std-809,male,19,70,42,91
std-810,male,34,79,96,51
std-813,male,62,94,48,72
std-821,male,36,85,84,100
std-824,male,19,100,83,70
std-827,male,31,89,49,98
std-833,male,30,69,95,30
std-835,male,100,55,57,48
std-836,male,48,97,70,59
std-838,male,94,77,72,76
std-840,male,22,33,65,100
std-845,male,79,92,87,41
std-846,male,72,100,47,81
std-848,male,51,94,68,100
std-849,male,34,63,65,96
std-850,male,74,74,94,56
std-852,male,95,64,38,73
std-854,male,83,65,83,91
std-861,male,37,58,93,61
std-862,male,34,94,89,41
std-863,male,34,93,71,36
std-865,male,34,63,52,96
std-868,male,69,100,16,100
std-869,male,24,91,100,82
std-872,male,97,46,100,82
std-875,male,21,100,86,66
std-876,male,61,96,25,85
std-877,male,100,50,64,87
std-884,male,66,94,74,67
std-890,male,39,53,94,79
std-892,male,93,71,88,84
std-893,male,36,100,49,100
std-899,male,46,100,88,95
std-900,male,87,92,34,80
std-902,male,46,100,64,51
std-907,male,36,91,90,64
std-909,male,44,98,48,83
std-912,male,100,60,53,55
std-914,male,69,94,72,80
std-915,male,43,90,97,54
std-916,male,63,96,79,84
std-917,male,85,97,59,26
std-919,male,47,89,98,52
std-921,male,92,56,33,59
std-922,male,80,17,83,92
std-923,male,59,67,45,97
std-926,male,72,82,100,71
std-927,male,91,95,62,34
std-929,male,33,98,80,66
std-931,male,68,96,86,38
std-937,male,7,91,73,9
std-940,male,19,96,86,66
std-941,male,55,100,49,96
std-943,male,54,97,83,55
std-944,male,72,84,67,100
std-945,male,51,100,63,91
std-947,male,29,100,78,37
std-948,male,13,75,62,97
std-949,male,14,92,48,95
std-950,male,67,17,91,82
std-953,male,52,87,99,84
std-954,male,62,79,68,94
std-955,male,100,81,78,75
std-956,male,99,89,60,100
std-957,male,32,86,65,94
std-958,male,42,72,88,97
std-961,male,36,86,100,69
std-965,male,76,94,57,66
std-967,male,79,65,97,53
std-972,male,44,81,52,96
std-977,male,94,67,51,47
std-978,male,41,83,83,91
std-979,male,75,74,73,95
std-980,male,33,63,100,95
std-981,male,64,94,88,47
std-988,male,47,93,95,46
std-994,male,45,100,38,41
std-996,male,88,99,94,86
std-997,male,100,64,48,61
std-998,male,45,81,97,82
std-1000,male,100,36,72,31
std-1001,male,75,90,70,91
std-1003,male,62,100,67,51
std-1005,male,58,95,72,62
std-1006,male,19,69,94,83
std-1007,male,54,87,93,55
std-1011,male,56,67,100,81
std-1012,male,68,74,58,93
std-1013,male,92,57,92,46
std-1014,male,48,32,57,93
std-1015,male,27,100,83,89
std-1018,male,30,68,100,89
std-1021,male,49,98,80,77
std-1022,male,76,82,100,61
std-1029,male,47,95,89,89
std-1032,male,100,71,72,89
std-1033,male,29,55,100,62
std-1036,male,46,68,94,64
std-1039,male,78,49,93,83
std-1042,male,56,99,69,64
std-1043,male,57,78,73,92
std-1045,male,98,89,76,71
std-1046,male,22,22,52,100
std-1047,male,15,94,56,35
std-1049,male,69,97,69,86
std-1051,male,9,100,48,42
std-1053,male,92,90,72,79
std-1056,male,29,24,55,92
std-1058,male,32,56,79,100
std-1060,male,23,100,56,80
std-1062,male,59,70,76,93
std-1065,male,84,100,24,24
std-1068,male,38,31,93,72
std-1071,male,92,59,83,71
std-1073,male,44,50,96,19
std-1075,male,29,100,87,93
std-1076,male,57,93,60,84
std-1078,male,75,87,95,82
std-1084,male,26,94,60,72
std-1086,male,42,74,63,95
std-1090,male,64,100,50,100
std-1091,male,90,68,100,51
std-1092,male,59,61,69,96
std-1093,male,61,97,75,79
std-1095,male,82,100,65,63
std-1096,male,29,100,90,78
std-1097,male,67,92,70,35
std-1101,male,64,47,98,51
std-1102,male,95,58,44,38
std-1105,male,43,100,35,35
std-1108,male,81,100,86,81
std-1110,male,92,81,82,56
std-1113,male,42,81,98,99
std-1115,male,77,93,44,88
std-1117,male,76,80,66,91
std-1120,male,100,50,92,43
std-1121,male,33,49,100,60
std-1122,male,100,96,52,78
std-1124,male,25,70,93,81
std-1128,male,62,86,95,88
std-1135,male,94,96,63,76
std-1137,male,67,77,42,97
std-1142,male,44,100,65,56
std-1143,male,58,94,33,87
std-1145,male,71,61,100,84
std-1147,male,18,91,69,59
std-1149,male,63,98,57,70
std-1150,male,81,100,66,90
std-1158,male,39,92,53,100
std-1165,male,44,75,83,98
std-1166,male,56,100,71,100
std-1167,male,14,60,70,100
std-1168,male,68,98,70,76
std-1172,male,94,74,100,52
std-1177,male,27,78,100,100
std-1185,male,35,96,45,72
std-1187,male,58,96,59,9
std-1188,male,35,100,100,81
std-1191,male,20,78,100,48
std-1193,male,73,54,56,96
std-1194,male,82,97,53,70
std-1197,male,44,86,74,91
std-1199,male,57,35,93,64
std-1200,male,44,73,56,96
std-1204,male,20,69,45,99
std-1205,male,53,94,79,76
std-1206,male,76,100,54,90
std-1208,male,99,93,84,100
std-1212,male,37,63,52,94
std-1214,male,59,86,98,79
std-1216,male,43,76,83,100
std-1219,male,54,92,56,37
std-1221,male,100,57,67,64
std-1225,male,75,93,89,100
std-1227,male,10,100,73,47
std-1230,male,61,71,55,100
std-1232,male,42,61,96,52
std-1234,male,57,58,93,86
std-1236,male,10,92,63,45
std-1237,male,67,83,96,40
std-1239,male,77,100,53,100
std-1242,male,61,76,85,96
std-1247,male,35,94,52,82
std-1249,male,38,99,83,98
std-1253,male,67,39,71,97
std-1254,male,35,94,59,91
std-1258,male,11,93,69,42
std-1259,male,41,98,57,23
std-1262,male,29,100,66,55
std-1264,male,66,100,64,71
std-1267,male,83,91,52,33
std-1270,male,91,82,60,54
std-1272,male,32,40,100,90
std-1273,male,30,99,76,52
std-1278,male,28,48,91,56
std-1279,male,18,92,60,54
std-1283,male,100,72,66,34
std-1287,male,50,61,100,64
std-1289,male,45,100,71,98
std-1294,male,38,74,60,100
std-1297,male,26,94,79,99
std-1298,male,36,95,55,41
std-1299,male,57,100,62,76
std-1303,male,49,88,100,71
std-1304,male,59,58,85,100
std-1308,male,81,86,62,97
std-1311,male,98,68,89,57
std-1313,male,76,100,87,40
std-1314,male,73,84,100,48
std-1318,male,93,91,64,27
std-1324,male,37,100,61,94
std-1326,male,38,82,100,96
std-1327,male,38,88,95,92
std-1331,male,69,71,93,53
std-1334,male,100,55,89,41
std-1336,male,36,79,55,91
std-1338,male,98,47,48,37
std-1339,male,27,38,74,99
std-1343,male,35,59,69,100
std-1344,male,61,97,68,100
std-1345,male,68,59,98,95
std-1347,male,57,100,46,81
std-1349,male,29,89,61,100
std-1350,male,83,92,54,76
std-1356,male,30,98,91,94
std-1365,male,98,43,56,69
std-1367,male,21,92,72,80
std-1369,male,55,78,100,72
std-1370,male,29,80,96,90
std-1372,male,33,66,64,92
std-1374,male,85,43,96,80
std-1377,male,39,92,76,55
std-1379,male,24,100,66,36
std-1380,male,32,100,66,72
std-1382,male,32,98,59,48
std-1384,male,81,95,90,76
std-1385,male,59,100,69,57
std-1391,male,88,50,59,91
std-1392,male,59,98,63,61
std-1393,male,48,79,96,24
std-1394,male,75,83,100,71
std-1399,male,50,99,62,76
std-1408,male,29,92,27,39
std-1409,male,30,88,66,100
std-1411,male,64,44,79,93
std-1412,male,48,43,27,91
std-1417,male,68,79,68,100
std-1418,male,70,91,35,64
std-1419,male,100,83,82,60
std-1421,male,70,93,65,77
std-1422,male,83,100,71,82
std-1423,male,34,54,100,71
std-1426,male,93,72,60,68
std-1429,male,89,87,41,100
std-1430,male,33,93,59,77
std-1432,male,56,100,85,61
std-1433,male,97,67,88,93
std-1434,male,53,55,61,91
std-1436,male,96,17,59,54
std-1443,male,80,94,61,38
std-1445,male,38,91,61,35
std-1449,male,29,100,26,36
std-1450,male,96,73,95,91
std-1451,male,71,91,90,43
std-1453,male,44,96,78,41
std-1455,male,85,92,100,71
std-1457,male,53,67,100,55
std-1463,male,100,63,75,47
std-1464,male,93,46,51,57
std-1465,male,99,92,92,83
std-1466,male,37,100,71,52
std-1467,male,94,17,39,53
std-1468,male,53,96,91,54
std-1469,male,23,70,89,97
std-1472,male,45,66,92,53
std-1473,male,52,90,69,96
std-1474,male,100,90,68,77
std-1475,male,73,88,68,91
std-1476,male,44,93,73,27
std-1477,male,29,79,100,89
std-1478,male,79,36,96,96
std-1481,male,62,96,80,99
std-1483,male,51,63,99,66
std-1484,male,100,87,57,92
std-1489,male,88,76,99,29
std-1492,male,41,97,61,56
std-1499,male,11,100,58,51
std-1501,male,46,60,77,91
std-1503,male,28,100,88,55
std-1507,male,44,100,28,60
std-1509,male,38,92,53,49
std-1510,male,14,77,95,70
std-1513,male,59,100,59,45
std-1514,male,49,100,59,70
std-1515,male,80,95,89,35
std-1516,male,100,68,82,62
std-1521,male,100,99,37,58
std-1529,male,76,95,75,61
std-1530,male,32,100,77,100
std-1537,male,57,62,92,68
std-1540,male,38,79,94,100
std-1543,male,52,100,85,98
std-1551,male,24,63,50,92
std-1552,male,73,88,95,100
std-1554,male,55,100,59,44
std-1555,male,42,94,85,72
std-1556,male,95,83,68,89
std-1558,male,54,68,33,91
std-1559,male,54,100,62,76
std-1560,male,75,84,96,82
std-1563,male,60,65,50,93
std-1567,male,38,95,52,55
std-1568,male,65,66,64,100
std-1570,male,18,97,64,58
std-1573,male,27,96,89,45
std-1577,male,62,81,95,60
std-1579,male,65,100,61,79
std-1580,male,42,100,49,41
std-1581,male,76,43,94,55
std-1582,male,27,61,24,100
std-1584,male,25,98,50,41
std-1586,male,97,83,66,100
std-1591,male,10,100,73,41
std-1592,male,27,88,94,48
std-1601,male,42,65,71,100
std-1602,male,45,100,88,87
std-1606,male,91,95,69,39
std-1609,male,31,100,48,62
std-1614,male,91,100,58,24
std-1618,male,23,72,84,100
std-1620,male,100,58,38,78
std-1621,male,68,95,69,30
std-1625,male,43,65,27,91
std-1630,male,93,44,100,65
std-1633,male,39,73,49,99
std-1637,male,26,58,55,100
std-1639,male,18,100,75,51
std-1640,male,35,79,98,100
std-1643,male,72,100,65,77
std-1646,male,82,97,46,63
std-1648,male,29,90,58,93
std-1649,male,20,86,100,88
std-1654,male,29,97,54,59
std-1655,male,100,81,82,83
std-1656,male,62,94,91,58
std-1661,male,55,94,87,38
std-1662,male,100,72,82,60
std-1664,male,55,100,41,70
std-1667,male,53,89,100,51
std-1670,male,23,79,30,97
std-1671,male,97,100,57,39
std-1674,male,37,93,45,40
std-1678,male,36,69,100,49
std-1681,male,65,100,100,81
std-1682,male,25,76,100,87
std-1689,male,95,60,89,92
std-1692,male,57,78,73,100
std-1698,male,29,86,100,58
std-1703,male,81,93,98,71
std-1707,male,38,71,92,71
std-1708,male,34,96,66,48
std-1712,male,64,100,94,61
std-1718,male,11,100,50,67
std-1721,male,21,95,84,93
std-1722,male,37,76,77,100
std-1724,male,27,100,75,24
std-1726,male,14,99,100,52
std-1729,male,0,71,91,62
std-1730,male,61,93,56,69
std-1735,male,29,68,55,94
std-1737,male,85,66,53,100
std-1746,male,17,54,98,97
std-1749,male,94,74,58,57
std-1751,male,70,78,62,100
std-1756,male,63,72,54,92
std-1758,male,21,92,98,100
std-1759,male,38,84,84,91
std-1764,male,61,100,100,80
std-1766,male,31,100,67,85
std-1767,male,41,96,35,41
std-1770,male,61,71,62,92
std-1771,male,64,100,49,74
std-1772,male,64,94,66,50
std-1775,male,56,100,60,68
std-1781,male,30,65,96,59
std-1782,male,69,100,92,83
std-1783,male,100,61,60,48
std-1784,male,62,76,93,75
std-1787,male,58,100,57,66
std-1794,male,22,82,95,52
std-1795,male,66,100,72,84
std-1796,male,28,63,53,100
std-1799,male,33,96,84,68
std-1803,male,38,100,98,77
std-1806,male,94,35,64,61
std-1811,male,44,100,56,97
std-1815,male,57,64,97,62
std-1816,male,79,94,74,60
std-1819,male,25,100,27,100
std-1821,male,45,94,100,91
std-1822,male,55,45,88,92
std-1823,male,96,100,75,56
std-1825,male,39,100,10,74
std-1828,male,30,97,63,27
std-1829,male,74,77,97,53
std-1830,male,31,96,88,64
std-1831,male,99,72,61,87
std-1834,male,40,98,49,56
std-1836,male,78,93,73,77
std-1838,male,83,89,91,71
std-1841,male,31,68,37,100
std-1846,male,22,82,59,97
std-1848,male,12,74,94,60
std-1849,male,50,100,37,90
std-1852,male,82,58,87,91
std-1853,male,23,100,99,37
std-1857,male,44,77,60,94
std-1859,male,16,76,97,9
std-1861,male,65,94,83,35
std-1865,male,35,77,46,96
std-1868,male,92,43,60,65
std-1869,male,75,79,91,50
std-1871,male,77,62,95,46
std-1875,male,28,100,94,45
std-1879,male,30,96,64,83
std-1880,male,81,57,71,100
std-1882,male,17,92,92,52
std-1885,male,79,97,94,82
std-1887,male,64,71,51,100
std-1889,male,40,100,61,57
std-1890,male,28,78,93,85
std-1891,male,42,61,65,91
std-1898,male,74,98,25,68
std-1903,male,90,79,54,100
std-1906,male,55,100,79,57
std-1908,male,33,92,64,66
std-1913,male,41,75,54,99
std-1915,male,48,91,37,70
std-1923,male,81,100,78,83
std-1925,male,23,90,94,70
std-1928,male,23,98,57,42
std-1935,male,56,100,51,42
std-1936,male,27,91,80,63
std-1938,male,72,78,91,67
std-1939,male,49,100,43,66
std-1942,male,63,41,97,63
std-1945,male,58,66,100,35
std-1950,male,91,87,74,58
std-1951,male,100,94,66,60
std-1952,male,47,66,100,47
std-1953,male,69,96,100,73
std-1954,male,90,68,94,10
std-1960,male,87,77,46,92
std-1961,male,100,100,51,81
std-1963,male,77,99,36,69
std-1965,male,55,78,71,93
std-1973,male,24,70,67,96
std-1978,male,80,100,89,73
std-1979,male,70,100,49,32
std-1980,male,45,57,49,100
std-1981,male,30,93,49,88
std-1983,male,12,98,72,65
std-1984,male,35,74,46,100
std-1985,male,58,53,100,36
std-1987,male,97,78,60,72
std-1990,male,58,93,67,48
std-1991,male,15,100,100,73
std-1993,male,98,90,90,80
std-1996,male,24,90,100,70
std-2000,male,42,100,52,82
std-2006,male,50,100,48,39
std-2008,male,48,100,75,67
std-2013,male,49,96,58,75
std-2015,male,94,88,57,63
std-2017,male,98,100,57,94
std-2019,male,99,80,74,91
std-2020,male,73,100,79,63
std-2021,male,45,47,64,100
std-2027,male,49,98,80,76
std-2029,male,41,78,99,43
std-2030,male,80,91,85,84
std-2033,male,66,94,62,60
std-2041,male,43,100,93,79
std-2043,male,25,100,100,68
std-2044,male,39,74,100,85
std-2052,male,66,75,100,88
std-2053,male,62,69,100,76
std-2056,male,13,79,45,97
std-2065,male,70,100,70,55
std-2069,male,25,84,62,100
std-2070,male,34,98,10,72
std-2071,male,74,87,93,69
std-2072,male,65,100,87,87
std-2076,male,94,18,39,100
std-2077,male,33,39,69,100
std-2078,male,36,97,62,37
std-2082,male,52,91,64,58
std-2085,male,76,47,53,99
std-2089,male,100,100,71,87
std-2090,male,28,100,54,76
std-2097,male,73,56,77,100
std-2101,male,58,95,63,77
std-2103,male,39,72,100,59
std-2104,male,36,55,38,95
std-2111,male,0,94,52,46
std-2115,male,59,45,59,94
std-2116,male,67,98,79,94
std-2117,male,96,43,64,44
std-2124,male,55,100,43,49
std-2132,male,50,43,86,100
std-2133,male,52,70,77,100
std-2134,male,83,56,63,91
std-2135,male,64,96,88,100
std-2136,male,99,78,100,69
std-2137,male,33,81,100,61
std-2144,male,84,100,80,67
std-2146,male,62,100,52,52
std-2149,male,94,100,74,45
std-2151,male,58,100,61,81
std-2154,male,57,27,44,97
std-2156,male,99,85,66,31
std-2157,male,91,64,33,34
std-2160,male,54,97,81,88
std-2161,male,71,98,63,54
std-2164,male,83,98,68,92
std-2166,male,87,100,78,83
std-2167,male,61,100,70,47
std-2169,male,70,99,62,74
std-2171,male,59,76,100,51
std-2175,male,80,66,91,29
std-2177,male,39,97,96,89
std-2180,male,14,100,97,41
std-2187,male,76,100,90,81
std-2189,male,75,92,71,45
std-2191,male,59,53,89,95
std-2192,male,63,100,66,72
std-2194,male,68,100,62,100
std-2197,male,60,76,99,46
std-2202,male,22,57,91,9
std-2203,male,48,100,22,50
std-2209,male,50,82,91,68
std-2210,male,54,100,45,100
std-2214,male,97,88,77,67
std-2215,male,65,83,73,96
std-2216,male,27,94,56,75
std-2218,male,85,77,74,97
std-2219,male,73,87,94,90
std-2220,male,37,63,62,100
std-2222,male,59,60,100,68
std-2224,male,52,86,92,36
std-2226,male,53,77,100,67
std-2228,male,64,98,95,86
std-2232,male,49,100,90,96
std-2237,male,45,58,94,100
std-2238,male,53,91,55,39
std-2241,male,45,77,100,62
std-2243,male,49,67,93,54
std-2246,male,52,100,57,35
std-2249,male,62,100,100,48
std-2251,male,49,55,93,74
std-2254,male,100,75,45,90
std-2256,male,27,99,63,50
std-2257,male,21,53,95,89
std-2258,male,100,20,74,52
std-2261,male,96,89,65,58
std-2262,male,97,100,65,41
std-2265,male,93,89,59,76
std-2275,male,15,100,41,51
std-2276,male,87,91,71,54
std-2279,male,61,94,43,48
std-2281,male,29,93,69,94
std-2285,male,36,100,61,100
std-2286,male,53,93,48,54
std-2290,male,41,47,93,48
std-2291,male,58,83,98,35
std-2296,male,85,92,54,34
std-2297,male,83,100,92,100
std-2302,male,25,100,10,100
std-2303,male,41,94,57,62
std-2304,male,55,100,74,69
std-2305,male,42,92,53,42
std-2310,male,63,92,52,29
std-2315,male,42,17,98,87
std-2316,male,75,63,99,50
std-2318,male,100,48,64,68
std-2323,male,95,88,79,54
std-2324,male,66,100,54,92
std-2326,male,100,78,33,35
std-2328,male,28,98,96,61
std-2329,male,43,100,89,25
std-2330,male,77,96,89,72
std-2332,male,44,61,78,97
std-2334,male,39,72,95,96
std-2336,male,25,100,91,61
std-2338,male,32,69,100,73
std-2340,male,71,92,66,97
std-2344,male,58,77,93,65
std-2345,male,26,57,75,100
std-2349,male,100,90,50,55
std-2353,male,19,100,37,63
std-2364,male,51,95,86,87
std-2365,male,46,84,81,95
std-2372,male,48,100,100,77
std-2374,male,100,98,48,80
std-2377,male,78,84,99,94
std-2378,male,55,100,66,100
std-2379,male,19,75,89,100
std-2381,male,31,100,81,31
std-2384,male,32,100,82,90
std-2387,male,82,70,92,59
std-2389,male,24,93,99,96
std-2390,male,43,100,100,72
std-2395,male,50,69,93,46
std-2398,male,30,84,100,61
std-2400,male,32,93,58,48
std-2402,male,35,86,56,98
std-2403,male,26,94,85,76
std-2415,male,14,100,80,69
std-2416,male,65,92,89,77
std-2429,male,8,100,59,66
std-2432,male,52,96,59,80
std-2434,male,74,83,79,100
std-2435,male,34,57,91,65
std-2438,male,70,70,95,64
std-2448,male,38,93,70,94
std-2449,male,33,87,97,51
std-2450,male,76,79,97,96
std-2451,male,41,64,71,100
std-2453,male,92,70,46,50
std-2454,male,62,90,53,91
